GEOID,under_18,over_65,median_age,male_over65,female_over65,white,black,asian,hispanic,male,female,less_than_9th,bach,high_school,poverty,median_income,uninsured,CountyFIPS,StateAbbr,per_arthritis,per_HighBP,per_cancer,per_asthma,per_heartDisease,per_copd,per_smoking,per_depression,per_diabetes,per_highChol,per_kidneyDisease,per_obesity,per_stroke,Food_environment_index,primCare100k,per_rural
0500000US01001,23.8,15,38.2,43.4,56.6,76.8,19,1,2.8,48.6,51.4,2.5,26.6,38,15.2,58731,7.1,1001,AL,31.6,40.7,7.2,10.1,6.7,7.6,16.8,22.2,12.3,36.9,3.2,39.3,3.4,7.2,0.000415043,42.00216232
0500000US01003,21.7,20,43,46.4,53.6,86.2,9.3,0.9,4.6,48.6,51.4,2.3,31.9,36.8,10.4,58320,8.9,1003,AL,32.7,39.2,8.4,9.7,7.4,8.1,14.5,22,12.6,39.3,3.4,37.4,3.5,8,0.000728797,42.27909911
0500000US01005,20.9,18.6,40.4,43,57,46.8,47.6,0.5,4.4,52.9,47.1,8.5,11.6,46.4,30.7,32525,11.3,1005,AL,35.4,48.8,7.3,11.3,9.3,11.4,24.2,22,18.4,39.8,4.4,43.3,5.3,5.6,0.000385134,67.7896347
0500000US01007,20.6,15.9,40.9,44.5,55.5,76.8,22.3,0.1,2.6,54,46,6.5,10.4,51.8,18.1,47542,10.7,1007,AL,32.7,42.8,7,10.3,7.7,9.7,21.9,22.9,14.1,39,3.5,39.9,4,7.6,0.000574129,68.35260746
0500000US01009,23.2,17.9,40.7,44.6,55.4,95.5,1.6,0.4,9.3,49.4,50.6,8.5,13.1,39,13.6,49358,10.8,1009,AL,33.3,40.3,7.9,10,7.9,9.2,19,23.3,12.8,40.6,3.5,37.9,3.7,8.5,0.000225288,89.95150204
0500000US01011,20.8,16,40.2,42.9,57.1,21.9,74.8,0.5,2.6,54.4,45.6,5.3,12.1,60,28.9,37785,11.4,1011,AL,33.8,52.7,6.5,11.6,9.3,11.1,25.5,19.7,21.3,38.7,4.7,49.2,5.9,4.2,0.000289519,51.37438153
0500000US01013,22.5,19.7,40.8,40.9,59.1,51.8,45.4,0.3,1.4,45.8,54.2,4.6,16.1,36,22.5,40688,8.7,1013,AL,35.3,48.1,7.9,11,8.7,10,20.1,20.3,17.3,40.7,4.3,41.6,4.9,6.5,0.00030003,71.23215735
0500000US01015,21.8,17.2,39.6,42.4,57.6,73.7,20.8,0.9,3.8,48.1,51.9,5.2,18.5,32,17.9,47255,9.5,1015,AL,33.8,42.4,7.5,10.6,7.7,9.4,20,22.7,14.1,38.9,3.6,38.7,3.9,6.9,0.000645662,33.69682556
0500000US01017,21,19.2,42,42.8,57.2,57.7,39.6,1.1,2.4,47.8,52.2,6.2,13.3,43.9,17.3,42289,10.3,1017,AL,34.6,46.5,7.7,10.9,8.3,9.6,19.5,21.9,16.5,39.6,4.1,44,4.6,6.3,0.00050232,49.14803449
0500000US01019,20.2,22.4,46.5,46.5,53.5,92.9,4.6,0.2,1.6,49.3,50.7,6.8,12.8,47.7,13.9,41919,8.6,1019,AL,36.2,45,8.9,10.4,9.5,11.3,20.9,24.7,15.1,42.5,4,38,4.5,8.5,0.000349854,85.73627304
