GEOID,under_18,over_65,median_age,male_over65,female_over65,white,black,asian,hispanic,male,female,less_than_9th,bach,high_school,poverty,median_income,uninsured,CountyFIPS,StateAbbr,per_arthritis,per_HighBP,per_cancer,per_asthma,per_heartDisease,per_copd,per_smoking,per_depression,per_diabetes,per_highChol,per_obesity,per_stroke,Food_environment_index,primCare100k,per_rural
0500000US01001,23.4,15.6,39,43.8,56.2,74.4,19.6,1.1,3.2,48.8,51.2,1.7,29.6,35.5,11.4,68315,7.4,1001,AL,34.5,40.6,8.3,10,7.4,7.8,15.5,23.8,13,35.9,38.9,3.7,6.5,44.74753441,42
0500000US01003,21.2,21.2,43.7,46.3,53.7,84,8.3,0.9,4.8,48.9,51.1,2,32.6,39.6,10.2,71039,9.3,1003,AL,34.6,38.7,10.1,9.7,8.2,7.9,14,23.5,13.1,38.9,36.8,3.7,7.4,68.98590717,42.28
0500000US01005,20.7,19.8,40.6,43.1,56.9,45.5,46.9,0.5,4.8,52.1,47.9,7.3,11.9,38.6,24.2,39712,10.7,1005,AL,37.1,48.9,7.9,11.2,10.5,11.7,20.9,22.8,18.9,39.4,43.3,6.1,5.7,36.45791137,67.79
0500000US01007,21.2,16.8,40.3,44.7,55.3,75.8,20.7,0.3,2.9,53.5,46.5,6.4,10.9,52.5,20.6,50669,8.4,1007,AL,33.9,42.3,8.5,10.7,8.8,10.3,21.1,25.9,15.1,38.6,41.4,4.6,7.6,58.05126373,68.35
0500000US01009,23,18.3,40.8,44.8,55.2,91.3,1.2,0.2,9.7,50.6,49.4,7.1,14.7,43,14.2,57440,10.2,1009,AL,34.6,40.5,9.4,10.5,9.2,10.5,19.1,26.8,14,40,37.3,4.3,7.8,22.48123681,89.95
0500000US01011,21.1,16.6,39.2,43.5,56.5,23.2,68.9,0.4,8.8,53.7,46.3,9.9,9.4,42.7,27.9,36136,12.2,1011,AL,35.3,52.4,6.3,11.9,10.3,12.3,24.6,21.6,22.4,37.9,49.6,7.2,4.6,29.7000297,51.37
0500000US01013,22.3,21.2,41.6,41,59,51.5,44.6,1.3,1.7,47,53,3.9,13,55.8,21.1,44429,11,1013,AL,38.1,47.7,8.4,11.2,9.9,10.9,19.5,22.8,18.2,39.8,45,5.7,6.9,25.70958453,71.23
0500000US01015,21.2,17.9,39.2,42.3,57.7,71.7,22.1,0.7,4.1,48.4,51.6,4.4,19.2,36.1,18,54339,10.8,1015,AL,35.4,41.3,8.4,10.2,8.2,9.1,17,24.6,14.5,37.4,37.7,4.2,5.9,61.61700629,33.7
0500000US01017,20.8,19.7,42.2,42.7,57.3,56.7,40.8,0.2,3.3,47.6,52.4,5.8,12.7,39.2,17.9,48805,10.8,1017,AL,36.8,46.8,8.2,11.4,9.7,11.3,20.6,24.2,18.2,39.5,45.6,5.6,7,45.10735551,49.15
0500000US01019,18.9,23.2,46.8,45.8,54.2,91.3,4,0.1,1.9,48.9,51.1,6.6,14.6,49.1,14.3,46621,10.2,1019,AL,43.6,44.3,10.7,10,10.1,10,16.3,25,15.2,40.9,39.9,4.6,7.2,38.17376699,85.74
0500000US01021,23.7,16.8,39.9,44.8,55.2,81.3,9.4,0.5,8.1,48.8,51.2,5.9,14,52.5,14.5,62471,11.5,1021,AL,32.7,41,8.6,10.1,8.4,9.2,15.8,24.9,13.7,38.3,36.7,4.1,7,22.50832808,86.74
0500000US01023,19.9,23.3,46.7,43.5,56.5,56.7,40,0.1,1.1,47.2,52.8,6.4,13,45.3,19.1,43299,8.2,1023,AL,41.8,51.1,9,11.3,11.1,12.5,20.2,23.7,20.3,41.7,46,6.4,5.8,39.71721344,100
0500000US01025,22,20.4,42.7,43.5,56.5,51.4,45.5,0.4,1.5,47.8,52.2,4.9,13.8,36.6,22.4,47549,9.5,1025,AL,37.3,47.7,8.3,11.5,9.8,11.3,19.9,23.7,18.5,38.8,44,5.7,5.4,46.5667598,75.98
0500000US01027,20.5,20.8,43.9,44.6,55.4,81.5,12.6,0.3,3.1,48.8,51.2,5,12.8,45.9,17.6,48074,8.1,1027,AL,36.6,45.1,9.5,11,10.4,11.9,20.6,25.9,16.6,40.6,39.5,5.3,7.3,37.7786173,100
0500000US01029,22.8,19.6,42.2,44.9,55.1,92.6,2.7,0.1,2.6,50,50,5.2,16.5,45.2,12.9,51553,10.1,1029,AL,37.4,42.3,9.5,10.7,10.1,12,20.9,27,15.4,40.1,39.6,4.9,7.1,20.12072435,100
0500000US01031,23.7,17.1,39.2,44.4,55.6,72.5,16.8,1.1,8.4,49.7,50.3,4.5,21.6,39.5,16.3,62199,10.9,1031,AL,33.2,39.1,8.3,10,8,8.2,14.4,22.5,13.6,34.7,34.2,4.1,6.9,47.76279088,47.2
