GEOID,under_18,over_65,median_age,male_over65,female_over65,white,black,asian,hispanic,male,female,less_than_9th,bach,high_school,poverty,median_income,uninsured,CountyFIPS,StateAbbr,per_arthritis,per_HighBP,per_cancer,per_asthma,per_heartDisease,per_copd,per_smoking,per_depression,per_diabetes,per_highChol,per_obesity,per_stroke,Food_Environment_Index,primCare100k,per_rural
0500000US01001,23.5,16,39.2,43.7,56.3,73.6,20,1,3.7,48.4,51.6,1.5,28.3,39.7,10.7,69841,7.4,1001,AL,30,42,8.3,10,6.7,7.4,14.5,25.1,13.3,41.3,39.8,3.7,6.6,0.000445276,42.00216232
0500000US01003,21.3,21.4,43.7,46.4,53.6,82.8,8,0.9,5.6,48.9,51.1,2.1,32.8,40.2,10.5,75019,8.2,1003,AL,32.9,43.8,10.2,9.3,7.5,7.5,13,22.5,13.4,42.8,35.2,3.8,7.5,0.000654202,42.27909911
0500000US01005,20.9,19.7,40.7,43.4,56.6,44,46.9,0.5,6,52.1,47.9,6.9,11.5,43.5,21.9,44290,10.8,1005,AL,34.2,50.2,7.8,10.8,9.5,11.1,20.2,22.1,19.6,43,46.8,5.8,5.8,0.000325349,67.7896347
0500000US01007,20.1,17,41.3,43.8,56.2,75.1,20.7,0.2,3.4,53.4,46.6,6.5,11.5,49,20.5,51215,8.3,1007,AL,32.3,46.3,8.3,10.4,8.5,10.2,19.7,24.4,16.2,42.4,43.9,4.7,7.4,0.000632454,68.35260746
0500000US01009,23.2,18.6,40.9,44.8,55.2,89.5,1.3,0.1,10.1,50.5,49.5,6.3,15.6,43,14.1,61096,10.2,1009,AL,31.8,41.2,9.3,9.9,8,9.1,16.6,24.8,13.8,42.2,36.1,4.1,7.8,0.000207329,89.95150204
0500000US01011,20.7,17.9,40.4,44,56,22.9,71.2,0.5,5.7,54.7,45.3,9.4,9,40.5,25.7,36723,12.9,1011,AL,35.3,56.6,6.3,11.5,10.7,13,24.7,21.1,24.6,43.2,51.3,7.3,4.3,0.000300722,51.37438153
0500000US01013,22.4,21.4,42.2,41.7,58.3,51.2,44.7,1.3,1.6,46,54,4.5,13.8,51.1,21,44881,12.3,1013,AL,35.2,51,8.4,10.9,9.1,10.3,18.3,22.5,18.9,43.4,40.4,5.5,6.8,0.000205086,71.23215735
0500000US01015,21.4,18,39,42.7,57.3,71,22,0.8,4.4,48.3,51.7,4.3,20.5,38.1,17.5,55826,11.1,1015,AL,31.6,44.8,8.2,10.6,7.7,8.9,16.3,24.6,14.8,40.4,38.6,4.2,6,0.000599283,33.69682556
0500000US01017,20.7,20,41.5,42.1,57.9,55.4,39.8,0.6,3.7,46.7,53.3,5.9,14.6,37.7,15.5,49295,12.2,1017,AL,34.2,48.7,8.4,10.7,8.6,9.9,17.7,22.7,17.9,41.8,41.5,5.2,6.9,0.000425985,49.14803449
0500000US01019,18.8,23.8,47.4,48,52,91.3,3.8,0.2,1.7,49.3,50.7,5.3,15.9,48.2,14.5,50769,9,1019,AL,35.9,45.9,10.6,10.2,9.6,10.7,17.5,25,16,45.9,39.5,4.8,7.4,0.000380315,85.73627304
0500000US01021,24.1,16.9,39.5,44.4,55.6,80.9,9.2,0.5,9.9,48.9,51.1,5.7,15.2,52.3,13.6,61873,10.1,1021,AL,31.4,43.1,8.6,10,7.6,8.8,16.9,24.5,14.1,43.3,40,4,7.1,0.00022524,86.74472424
0500000US01023,19.9,23.8,47,43.2,56.8,56.7,38.2,0.2,1.1,46.9,53.1,5.9,13.9,45.4,19.5,44483,8.2,1023,AL,38.4,52.7,9.1,10.9,10,11.1,18.2,23.3,20.1,45.3,44.4,6,6.1,0.000402641,100
0500000US01025,21.7,20.6,42.5,44,56,51.5,45.4,0.3,1.1,47.3,52.7,4.2,15.4,44.6,20.5,49167,8.2,1025,AL,34.7,49.5,8.3,10.8,8.7,9.7,17.7,22.6,18.4,42,43.9,5.3,5.1,0.000472285,75.98033523
0500000US01027,20.7,20.5,43.8,43.4,56.6,80.5,13,0.3,3.2,48.2,51.8,5.6,15.2,31.9,16.5,51852,8.4,1027,AL,35.3,47.6,9.7,10.4,9.3,10.6,18.2,24.4,16.5,44.5,42.5,4.9,7.5,0.000305064,100
0500000US01029,21.8,20.4,42.3,47.2,52.8,92.8,3.9,0.1,2,50.2,49.8,4.3,18.2,44.4,13.2,53319,9.3,1029,AL,33.1,42.9,9.7,10,8.4,9.8,17.8,25.5,14.6,43.2,37.4,4.3,7.3,0.000267255,100
0500000US01031,24.1,17.1,38.8,44.6,55.4,71.5,16.6,0.9,9.4,49.7,50.3,4.5,21.5,39.3,17.6,64672,10.5,1031,AL,31,43.5,8.4,10.2,7.6,8.6,16.6,24.3,14.8,40.4,41,4.2,6.9,0.00046966,47.19508289
0500000US01033,21.4,20.1,42.3,43.4,56.6,78,15.8,0.4,3.3,48.2,51.8,3.1,20.3,42.8,16.9,56736,7.4,1033,AL,33.2,44.3,9.2,10.3,8,8.9,16.2,24.5,15,42.7,37.5,4.3,6.7,0.000631644,43.89468656
0500000US01035,20.2,24.3,46.3,45.5,54.5,50.2,45.8,0.2,0.9,46.4,53.6,2.4,13.1,66,27.6,42266,8.2,1035,AL,38.6,54.7,9,11,11.1,12.6,20.5,22.3,22.1,45,46.4,6.7,6.2,0.000421905,80.94950106
0500000US01037,16.9,24.8,50.3,48.4,51.6,64.6,29.7,0,2.4,51.2,48.8,4.4,14.9,37.8,11.6,57063,7.4,1037,AL,36.9,50.2,9.8,10.3,9.8,10.6,17.8,22.2,18.6,44.8,41.9,5.5,7.2,-999,100
0500000US01039,22.1,21.9,42.8,43.8,56.2,83.2,11.7,0.4,1.9,48.3,51.7,3.9,17.2,42.2,18,50886,10.3,1039,AL,34.2,46.4,9.9,10.2,9.2,10.4,17.6,24.3,16.3,44.5,37.9,4.9,6.9,0.000541565,69.65179399
0500000US01041,22.9,19.9,42.4,43.9,56.1,70.6,23.4,1.2,1.8,48.4,51.6,6.1,16.8,54.2,16.2,49040,9.2,1041,AL,33.5,46.6,8.7,10.5,8.5,9.9,18.1,23.8,16.6,42.5,40.5,4.8,6.4,0.000146188,100
0500000US01043,22.5,18.9,41.1,44.7,55.3,91,1.1,0.6,4.9,49.5,50.5,4.4,19.1,36.5,13.9,60916,10.7,1043,AL,32.5,42.3,9.5,9.8,7.9,9,16.6,25.4,13.4,41.5,36.4,4,7.5,0.000567947,73.23955924
0500000US01045,23.3,18,38,45.8,54.2,68.6,21.2,1.3,6.9,49.3,50.7,4.7,19.3,40,18.7,53955,10.9,1045,AL,31.8,44.3,8.4,10.3,8.1,9.2,17.5,24.8,15.8,42.1,41.3,4.4,6.5,0.000265528,50.88853953
0500000US01047,23.8,19.8,40.3,42.8,57.2,27.2,70.5,0.6,0.9,46.4,53.6,3,17,51.5,29,36810,9.3,1047,AL,35.3,55.2,7.3,11.6,9.6,11.2,19.5,20.3,22.4,44.1,46.3,6.6,5.8,0.000803369,45.63897764
0500000US01049,24.2,17.4,39.6,45.8,54.2,81.3,1.3,0.2,16.7,50,50,10.3,13.9,42.9,20.4,51149,15,1049,AL,32.5,44.5,8.8,10.1,8.9,10.8,19.6,26.3,15.7,42.6,38.6,4.6,-999,0.000446566,90.1306445
0500000US01051,21.7,16.1,38.9,44.8,55.2,73.3,21.1,0.7,3.3,48.7,51.3,3.1,24.4,45.6,10.3,75553,7.7,1051,AL,29.5,41.6,8.3,10,6.7,7.5,15.1,23,13,40.6,38.9,3.7,7.8,0.000231262,54.18836614
0500000US01053,22.8,18.8,40.5,42.3,57.7,61,30.7,0.3,2.3,50,50,5.1,12.5,43.7,21.2,44447,11.3,1053,AL,34.1,48.6,8.2,10.9,9.5,11.4,21.2,24,18.5,42.8,43.9,5.5,6.6,0.000330752,63.51157389
0500000US01055,21.8,19.5,41.8,44.2,55.8,77.3,15,0.7,5,48.4,51.6,4.7,17.5,38.6,17.1,53070,12.2,1055,AL,33.7,46.3,9.1,10.3,8.5,9.8,17.8,24.9,16.3,42.5,43.8,4.5,6.2,0.000761935,37.48348176
0500000US01057,21.3,21.6,42.8,45.3,54.7,84.5,12.3,0.1,1.1,48.6,51.4,5.3,15.6,48.6,18.7,50733,7.9,1057,AL,35.7,47.6,9.7,10.3,9.4,10.9,18.7,25.7,16.6,43.4,40.6,5,7.2,0.000985161,80.23316513
