county_name,real_percent,county_fips
Arkansas,13.6,5001
Ashley,7.9,5003
Baxter,10.7,5005
Benton,10,5007
Boone,17.6,5009
Bradley,7.4,5011
Calhoun,10.1,5013
Carroll,11.3,5015
Chicot,7.8,5017
Clark,12.4,5019
Clay,8,5021
Cleburne,9.2,5023
Cleveland,9.9,5025
Columbia,8.4,5027
Conway,9.2,5029
Craighead,8.1,5031
Crawford,9.1,5033
Crittenden,7,5035
Cross,10.4,5037
Dallas,10.7,5039
Desha,12,5041
Drew,6.9,5043
Faulkner,10.8,5045
Franklin,10.3,5047
Fulton,13.3,5049
Garland,7.8,5051
Grant,9,5053
Greene,7.9,5055
Hempstead,11.7,5057
Hot Spring,8.4,5059
Howard,13.2,5061
Independence,9,5063
Izard,8.3,5065
Jackson,9.1,5067
Jefferson,9.9,5069
Johnson,9.5,5071
Lafayette,8.3,5073
Lawrence,8.6,5075
Lee,12.7,5077
Lincoln,10.4,5079
Little River,10.8,5081
Logan,12.3,5083
Lonoke,11,5085
Madison,9.5,5087
Marion,11.4,5089
Miller,7.6,5091
Mississippi,7.2,5093
Monroe,15.9,5095
Montgomery,9.6,5097
Nevada,9.9,5099
Newton,11.5,5101
Ouachita,9.6,5103
Perry,8.7,5105
Phillips,14.2,5107
Pike,12,5109
Poinsett,7.4,5111
Polk,10.3,5113
Pope,9.3,5115
Prairie,12.8,5117
Pulaski,9.8,5119
Randolph,8.9,5121
Saline,8.1,5123
Scott,12.6,5125
Searcy,11.3,5127
Sebastian,12,5129
Sevier,10.7,5131
Sharp,11.1,5133
St. Francis,14,5135
Stone,7.4,5137
Union,8.8,5139
Van Buren,10.4,5141
Washington,9.7,5143
White,11,5145
Woodruff,13.1,5147
Yell,8.8,5149
