county_name,real_percent,county_fips
Arkansas,8.7,5001
Ashley,8.5,5003
Baxter,10.7,5005
Benton,6.4,5007
Boone,9.1,5009
Bradley,8.7,5011
Calhoun,8.6,5013
Carroll,8.5,5015
Chicot,10.5,5017
Clark,10,5019
Clay,14.9,5021
Cleburne,11.1,5023
Cleveland,10.1,5025
Columbia,9.4,5027
Conway,11.8,5029
Craighead,10.6,5031
Crawford,10,5033
Crittenden,11.5,5035
Cross,12.6,5037
Dallas,12.1,5039
Desha,12.7,5041
Drew,10.3,5043
Faulkner,6.8,5045
Franklin,13.8,5047
Fulton,11,5049
Garland,10.4,5051
Grant,8.2,5053
Greene,11.6,5055
Hempstead,10.9,5057
Hot Spring,9.8,5059
Howard,6,5061
Independence,11.7,5063
Izard,11.7,5065
Jackson,11.1,5067
Jefferson,6.8,5069
Johnson,12.5,5071
Lafayette,14.9,5073
Lawrence,12.4,5075
Lee,14.5,5077
Lincoln,8.2,5079
Little River,7.9,5081
Logan,13.1,5083
Lonoke,6.1,5085
Madison,8.8,5087
Marion,10.4,5089
Miller,12.2,5091
Mississippi,10.6,5093
Monroe,15,5095
Montgomery,11.2,5097
Nevada,10.9,5099
Newton,11.5,5101
Ouachita,9,5103
Perry,9,5105
Phillips,13.3,5107
Pike,6.9,5109
Poinsett,11.9,5111
Polk,7.7,5113
Pope,12.6,5115
Prairie,8.4,5117
Pulaski,6.7,5119
Randolph,11.3,5121
Saline,8.2,5123
Scott,12.1,5125
Searcy,11.2,5127
Sebastian,11.9,5129
Sevier,5.1,5131
Sharp,12.8,5133
St. Francis,15.2,5135
Stone,13.1,5137
Union,7.3,5139
Van Buren,12.9,5141
Washington,5.6,5143
White,8.3,5145
Woodruff,13.3,5147
Yell,11.7,5149
