county_name,real_percent,county_fips
Arkansas,7.8,5001
Ashley,8.0,5003
Baxter,9.4,5005
Benton,4.9,5007
Boone,5.6,5009
Bradley,6.4,5011
Calhoun,8.0,5013
Carroll,6.0,5015
Chicot,15.5,5017
Clark,9.2,5019
Clay,7.8,5021
Cleburne,9.0,5023
Cleveland,6.1,5025
Columbia,7.8,5027
Conway,5.9,5029
Craighead,7.1,5031
Crawford,6.3,5033
Crittenden,6.1,5035
Cross,9.0,5037
Dallas,10.5,5039
Desha,9.0,5041
Drew,9.0,5043
Faulkner,5.1,5045
Franklin,7.2,5047
Fulton,7.3,5049
Garland,8.8,5051
Grant,6.7,5053
Greene,7.3,5055
Hempstead,7.9,5057
Hot Spring,8.4,5059
Howard,7.8,5061
Independence,8.0,5063
Izard,7.3,5065
Jackson,8.8,5067
Jefferson,6.2,5069
Johnson,6.6,5071
Lafayette,9.5,5073
Lawrence,8.4,5075
Lee,5.6,5077
Lincoln,5.7,5079
Little River,8.4,5081
Logan,8.2,5083
Lonoke,5.8,5085
Madison,6.5,5087
Marion,8.0,5089
Miller,9.3,5091
Mississippi,6.8,5093
Monroe,8.3,5095
Montgomery,10.3,5097
Nevada,8.8,5099
Newton,7.5,5101
Ouachita,9.2,5103
Perry,7.0,5105
Phillips,6.2,5107
Pike,6.4,5109
Poinsett,8.7,5111
Polk,9.0,5113
Pope,7.1,5115
Prairie,9.6,5117
Pulaski,5.9,5119
Randolph,8.2,5121
Saline,6.8,5123
Scott,8.1,5125
Searcy,8.1,5127
Sebastian,6.7,5129
Sevier,8.1,5131
Sharp,8.4,5133
St. Francis,7.8,5135
Stone,9.3,5137
Union,7.0,5139
Van Buren,8.2,5141
Washington,4.5,5143
White,7.4,5145
Woodruff,10.3,5147
Yell,7.2,5149
