"county_fips","per_asthma","pred_outcome"
"01001",10,9.93607332432068
"01003",9.7,9.41456507298751
"01005",11.2,11.0244152482563
"01007",10.7,10.4855575268731
"01009",10.5,10.169223171612
"01011",11.9,11.5128636222004
"01013",11.2,11.222097900885
"01015",10.2,10.6500344768742
"01017",11.4,11.0189607413726
"01019",10,10.2912585405823
"01021",10.1,10.3090579077221
"01023",11.3,10.9876133826692
"01025",11.5,11.1710793482309
"01027",11,10.635486443558
"01029",10.7,9.96295125678284
"01031",10,10.2277065760629
"01033",10.4,10.6498732316227
"01035",11,11.022039836178
"01037",10.6,10.3445792000467
"01039",10.4,10.3444337640069
"01041",10.7,10.4230172642376
"01043",10.6,10.0971086675919
"01045",10.7,10.4283386484934
"01047",11.7,11.8597524728483
"01049",11.2,10.5012541678395
"01051",10.3,10.0171724317423
"01053",11.2,10.7508514359812
"01055",10.9,10.4756222224069
"01057",11.1,10.741536620199
"01059",10.6,10.4444057452026
"01061",10.5,10.484616000212
"01063",12.4,11.7989428358594
"01065",11.5,11.5327442524347
"01067",11.2,10.2585141866625
"01069",11,10.4418841085401
"01071",10.9,10.551377571398
"01073",10.5,10.3587473261065
"01075",10.4,10.4134843678418
"01077",10.1,10.2351541230685
"01079",11.2,10.5005716965563
"01081",10.1,9.8822091035495
"01083",10.1,10.0360128228535
"01085",12,11.7290986206876
"01087",12.1,11.7386732886234
"01089",9.9,9.71840075491122
"01091",11.3,11.0107183072815
"01093",10.7,10.3888348026888
"01095",10.4,10.2885858744078
"01097",10.9,10.3747208642636
"01099",11.3,11.01127855783
"01101",11.4,10.8223098051635
"01103",10.3,10.2080635714013
"01105",12.2,12.2407405281796
"01107",11,11.0227702339534
"01109",10.7,10.8290234511742
"01111",10.8,10.6166116279044
"01113",11.6,11.2461810468282
"01115",9.9,10.0069215330384
"01117",9.5,9.21455172074777
"01119",12.1,11.8246887381083
"01121",11.4,10.8286640050029
"01123",10.7,10.5034229168481
"01125",10.8,10.3686668860116
"01127",11,10.289672305058
"01129",11,10.4638875090575
"01131",12.4,11.9127534717404
"01133",10.1,10.4581433682297
"04001",15.1,13.0155517003198
"04003",10.3,10.2771134295128
"04005",11.1,10.717528145106
"04007",11.3,10.6177753837014
"04009",10.8,10.4620564707498
"04011",10,10.1288146359556
"04012",11,10.6854056863239
"04013",10.2,9.86249026033339
"04015",10.8,9.83525492009671
"04017",12.9,11.7389719377556
"04019",10.2,10.1750030022228
"04021",11,9.92496669243911
"04023",9.7,10.9944286168009
"04025",11.1,9.78765313357315
"04027",9.8,10.2559935447201
"05001",11.5,10.1150113103112
"05003",11.4,10.6109511225074
"05005",10.6,9.50340606437478
"05007",9.8,10.3460244416936
"05009",11,9.57845854151132
"05011",11.5,10.247467418254
"05013",10.9,9.64512767868498
"05015",10.4,10.4665111399326
"05017",11.7,10.8604211763471
"05019",11.6,10.2686772888992
"05021",11.3,10.3201600740067
"05023",10.8,9.48399720427918
"05025",11.4,9.6167646600801
"05027",11.2,10.4495511648046
"05029",11.4,9.84837864190851
"05031",11.2,10.2956357328574
"05033",10.8,9.90650477148736
"05035",12.4,11.0171408642995
"05037",11.4,10.4413449836137
"05039",11.3,9.82159292826373
"05041",12.7,11.0873214200031
"05043",11.3,10.2302759629829
"05045",10.5,9.58637862501113
"05047",11.1,9.69855240222056
"05049",11.8,9.87041438879754
"05051",10.6,9.81433011354574
"05053",10.7,9.38098744341971
"05055",11.2,10.2113945204498
"05057",11.6,10.8188612707983
"05059",10.8,9.80160855761963
"05061",10.9,10.6912207116702
"05063",11.1,10.1164447238341
"05065",10.6,9.62003947273457
"05067",11.6,10.437512270209
"05069",11.8,10.5003564428155
"05071",11.3,9.91321385218803
"05073",12,10.5096389972452
"05075",11.6,10.1229104080443
"05077",11.6,10.8589813305721
"05079",10.8,9.70401721400746
"05081",10.9,9.42056206295309
"05083",11.4,9.55093101379935
"05085",10.9,9.61687259745171
"05087",10.9,10.436185014694
"05089",10.9,9.66708984653075
"05091",11.6,10.2676159065152
"05093",12.1,10.9625932339158
"05095",11.9,10.7050458081257
"05097",11,10.1651353382614
"05099",11.6,10.562015555746
"05101",11,9.45439943540897
"05103",11.5,10.2577511757973
"05105",10.9,9.40145971310203
"05107",12.8,11.3769840131627
"05109",10.9,10.0002395695405
"05111",12.1,10.5073288971947
"05113",10.9,9.82525599203747
"05115",11.1,9.72651938458566
"05117",11.4,9.45343231441855
"05119",10.8,10.1125166043235
"05121",11.4,10.1735221507709
"05123",12,10.9331648301913
"05125",10,9.17631034828149
"05127",11.1,10.0324924808708
"05129",11.5,9.81119396037522
"05131",11.5,10.4461062910199
"05133",10.9,11.4408318985602
"05135",11.1,9.91508476305391
"05137",11.2,9.96876359786608
"05139",10.8,10.1643796350093
"05141",11.3,9.88594040041516
"05143",10.8,10.5794797331494
"05145",11.3,9.88453054766752
"05147",11.6,10.1045066353998
"05149",11,9.90795605587157
"06001",8.9,8.11959790194076
"06003",10.3,8.80865940810831
"06005",10.5,9.38274814024834
"06007",10.7,10.2695208307999
"06009",10.6,10.0279926440849
"06011",10.6,9.47277377832644
"06013",9.5,8.49907463656803
"06015",11.6,9.86973510817563
"06017",9.8,9.4429514937554
"06019",10.8,9.77190833810769
"06021",10.8,9.92768019906181
"06023",11.6,10.4554653268212
"06025",10.2,10.2336054834953
"06027",10.4,9.42886942135608
"06029",10.4,10.0311084977707
"06031",10.5,9.46967673768483
"06033",10.8,10.1733115725939
"06035",10.7,9.42070332793866
"06037",9.1,9.30672073695094
"06039",10.9,9.98460646441997
"06041",9.3,8.82222317045381
"06043",11.1,10.0227538326251
"06045",10.7,10.1150711982152
"06047",11.1,9.62756880974932
"06049",10.9,10.4709589860052
"06051",10.2,9.45954464251258
"06053",10.5,8.90850437164756
"06055",10,8.9775135082089
"06057",10.9,9.75258844173929
"06059",9,8.92330717541419
"06061",10.1,9.15198952486374
"06063",10.4,9.95971616917409
"06065",10,9.41846868018175
"06067",10.9,9.16706212269025
"06069",9.8,8.94220893772827
"06071",10.4,9.64741192770372
"06073",9.3,9.09442681846899
"06075",8.5,8.15548801638059
"06077",10.1,9.12017973801665
"06079",10.2,9.44797440631281
"06081",8.6,8.09078259545799
"06083",9.9,9.3944093085374
"06085",8.5,7.86398457477786
"06087",10.2,9.18026486020646
"06089",11.1,10.3032047180162
"06091",10.5,10.1435872069164
"06093",11.1,10.392883929357
"06095",10,8.79398783203563
"06097",10.2,9.22103491551978
"06099",10.6,9.60255328563163
"06101",10.5,9.44871890441662
"06103",11,10.2695389856688
"06105",10.8,10.5112007036084
"06107",10.6,9.96865038492493
"06109",10.5,9.78056570129717
"06111",9.8,9.11403463865164
"06113",10.6,9.56043651213684
"06115",11.1,9.88397714027132
"08001",11.3,10.624758909201
"08003",11.5,10.6935064048209
"08005",10.6,10.4290077725668
"08007",10.5,9.99844233238665
"08009",12.3,10.5898860324942
"08011",10.6,10.3812286056229
"08013",10.2,9.98219748527131
"08014",10.1,9.8560156361583
"08015",10.9,9.80152147512432
"08017",10.6,9.99533976073136
"08019",10.2,9.53139379957232
"08021",11,10.7045078673366
"08023",10.9,10.8361008123982
"08025",10.3,10.0895904171318
"08027",10.8,9.7217475760754
"08029",11.1,10.27198859117
"08031",10.8,10.5077212285824
"08033",10.6,9.98130850333173
"08035",10.3,9.73539848027232
"08037",10.4,9.98760435444681
"08039",11.1,9.62049780327472
"08041",11,10.1190633228645
"08043",10.7,10.0064229073078
"08045",10.8,10.3356145465981
"08047",10.8,9.77406971531919
"08049",10.4,9.84114183019829
"08051",10.4,9.6475102324242
"08053",10.4,9.80655210239804
"08055",11,10.2495856248949
"08057",11.6,9.84402246242684
"08059",10.8,9.84597353062667
"08061",11.7,10.1072458145449
"08063",10.9,9.84582324606662
"08065",9.8,10.2276594369167
"08067",10.9,10.0503682279723
"08069",10.4,9.89064327402626
"08071",11,10.2771153413882
"08073",10.7,9.83394532581007
"08075",11.2,9.96139168925789
"08077",11,10.1904943713544
"08079",10.9,9.74630832615124
"08081",11.5,10.3977561505483
"08083",11.8,10.4131243070625
"08085",10.9,10.3111642658844
"08087",10.9,10.4365952823258
"08089",11.8,10.5857852671466
"08091",10.6,9.42481823950115
"08093",10.7,9.60482390975177
"08095",11.4,9.7972875704232
"08097",9.8,9.43407893966351
"08099",11.8,10.3880131569363
"08101",11.1,10.4539548614988
"08103",11.2,10.2867737049863
"08105",10.5,10.2291523092634
"08107",10.5,9.73153018045894
"08109",11.3,10.3691959509231
"08111",10.5,10.2361468694413
"08113",10.3,9.4833402341369
"08115",11.7,9.34845801783677
