"county_fips","per_depres","pred_outcome"
"01001",25.1,21.6792810824545
"01003",22.5,21.5380378470834
"01005",22.1,20.1949677257714
"01007",24.4,23.3565782935393
"01009",24.8,24.175070482195
"01011",21.1,18.9060874969415
"01013",22.5,20.9709529152081
"01015",24.6,22.6903734200406
"01017",22.7,20.6763516088095
"01019",25,24.7600323987668
"01021",24.5,22.7180340372188
"01023",23.3,20.9894205489009
"01025",22.6,21.1947417601811
"01027",24.4,23.2838309745193
"01029",25.5,23.4847784784514
"01031",24.3,22.0378782138111
"01033",24.5,25.0282317017316
"01035",22.3,21.4315566831723
"01037",22.2,20.8602445920026
"01039",24.3,22.9357520916996
"01041",23.8,21.8564501957916
"01043",25.4,24.5558735349846
"01045",24.8,21.9031917591339
"01047",20.3,20.1580666218766
"01049",26.3,23.7161752660457
"01051",23,21.6260259873958
"01053",24,22.0744334761669
"01055",24.9,23.2623069517091
"01057",25.7,24.585490512696
"01059",25.1,23.9514112066935
"01061",25.7,23.045343451388
"01063",20.4,18.8988639517081
"01065",21.2,20.3516270992296
"01067",23,21.0305476262642
"01069",24.9,21.4018348096818
"01071",26.7,25.4500757331214
"01073",22.7,19.9010946961371
"01075",24.7,24.2669804726922
"01077",24.2,24.2668190908286
"01079",24.9,23.456334577756
"01081",23.6,20.6006647326681
"01083",23.7,23.1514818897185
"01085",20.9,19.7685972447781
"01087",20.7,18.15083431256
"01089",21.6,21.0246944271959
"01091",22.3,20.4278688548394
"01093",25.7,25.3684840825183
"01095",25.4,23.8131413532386
"01097",22.1,21.9227640388728
"01099",22.7,21.3532814116196
"01101",21,18.4173924113484
"01103",24,22.6358069583267
"01105",22.1,20.1973734874805
"01107",22.3,21.8650741102846
"01109",24.7,21.3776463037376
"01111",24.4,22.5717353969649
"01113",23.9,21.0163240166295
"01115",25,23.2554195529461
"01117",21.6,20.5717399237939
"01119",21.5,19.5195895430537
"01121",22.7,22.2727708634636
"01123",23.5,21.5833868119414
"01125",25,21.3975567048741
"01127",26.6,24.6096659361455
"01129",24.1,21.8202974419348
"01131",21.4,19.7672757753577
"01133",26.2,26.1683937696549
"04001",20.4,18.6790660802624
"04003",19.9,18.6187183819244
"04005",22.5,18.8895886663476
"04007",20.7,18.0437514577481
"04009",20.3,19.0965895925182
"04011",19.2,18.4261374546242
"04012",17.9,16.3664035038525
"04013",18.6,18.38738733679
"04015",19.2,18.3713461160382
"04017",22.2,18.792922450093
"04019",22.8,18.0502282905101
"04021",19.8,18.1615412812844
"04023",16,18.571971957802
"04025",19.3,18.4607545086568
"04027",17.9,17.378594432974
"05001",23.4,24.3096808472724
"05003",25.6,25.4112709576067
"05005",25.7,23.8529411401823
"05007",23.7,22.4247670891899
"05009",25.4,24.8110911820298
"05011",23.2,22.6490574450638
"05013",23,23.1958247629358
"05015",24.2,23.3296763716665
"05017",21.5,20.4909851496729
"05019",26,24.532964919952
"05021",26.8,25.3845530839824
