"county_fips","per_heartD","pred_outcome"
"01001",7.4,6.41896249999999
"01003",8.2,7.48699166666669
"01005",10.5,9.13221250000002
"01007",8.8,8.04560833333333
"01009",9.2,8.01936250000002
"01011",10.3,8.94819583333335
"01013",9.9,9.18930000000002
"01015",8.2,7.68669166666666
"01017",9.7,8.91722916666669
"01019",10.1,8.89100416666667
"01021",8.4,7.94365416666668
"01023",11.1,9.30586250000003
"01025",9.8,9.10337083333334
"01027",10.4,8.9672
"01029",10.1,8.35332083333334
"01031",8,7.58917916666664
"01033",8.9,7.81371250000001
"01035",11.2,9.36617916666669
"01037",10.5,7.99930416666667
"01039",9.2,8.71047083333332
"01041",9.2,8.5435
"01043",9.6,7.69744583333334
"01045",9,7.73372499999998
"01047",10,8.96172500000001
"01049",10.5,8.717975
"01051",7.3,6.53175833333333
"01053",9.6,9.13985416666664
"01055",9.5,7.90679166666667
"01057",10.6,9.14426666666665
"01059",9.9,8.19030000000001
"01061",10.3,9.14345833333333
"01063",11.5,9.82163333333333
"01065",9.7,8.7563375
"01067",10.6,8.34683333333332
"01069",8.8,7.81689166666667
"01071",10.3,8.7640375
"01073",7.4,6.90020833333332
"01075",10.1,9.05671666666666
"01077",8,7.20447083333331
"01079",9.7,8.21176250000002
"01081",6.2,5.57769999999999
"01083",7.2,6.19405833333334
"01085",10.5,9.16696666666667
"01087",9.3,8.63492916666666
"01089",6.6,5.90073333333334
"01091",9.9,8.64683749999999
"01093",10.8,8.89966666666665
"01095",8.2,7.68222916666667
"01097",8.7,7.32652083333336
"01099",10,9.27698333333334
"01101",7.8,6.78698750000001
"01103",8.9,7.37281666666665
"01105",10.7,9.07155416666667
"01107",9.5,8.86934583333334
"01109",6.8,6.83884166666665
"01111",9.7,8.60636249999999
"01113",8.4,7.2859875
"01115",7.6,7.49245416666666
"01117",6.1,6.14527916666664
"01119",8.6,9.35096249999999
"01121",9,8.18523750000002
"01123",10.1,8.757825
"01125",6.5,5.89575
"01127",10.1,8.38880833333334
"01129",10.2,8.72614583333334
"01131",11.1,9.59407500000001
"01133",10.6,9.38877916666664
"04001",11.4,9.11831666666664
"04003",9.3,7.69897916666668
"04005",6.2,5.59260833333333
"04007",11.1,9.4986916666667
"04009",7,6.78767500000002
"04011",6.5,6.60037500000001
"04012",14.9,11.7764583333333
"04013",6.5,5.542925
"04015",11.5,9.50725833333337
"04017",10.2,8.54433333333333
"04019",7.1,6.39045833333331
"04021",8.1,6.89786666666665
"04023",8,7.39633333333332
"04025",10,8.50646249999998
"04027",8.7,7.18479166666665
"05001",10,8.91556249999999
"05003",11,9.22276249999999
"05005",12.3,10.3200583333333
"05007",6.5,6.133475
"05009",9,8.75431249999996
"05011",9.9,9.10455833333334
"05013",9.2,8.78084583333335
"05015",10.7,9.17488333333331
"05017",11.2,9.80962916666667
"05019",8.2,6.81975
"05021",10.8,9.40245416666668
"05023",11,10.2670166666667
"05025",10.9,9.06973749999999
"05027",8.3,8.07477500000001
"05029",10.4,8.82435833333331
"05031",7.9,6.69395416666667
"05033",9.3,8.15651250000001
"05035",8.2,7.78420833333331
"05037",9.8,8.42299166666667
"05039",10.6,9.65605833333332
"05041",11.1,9.98027083333333
"05043",8.6,7.63877083333331
"05045",6.7,6.35964166666668
"05047",10.3,9.43127916666664
"05049",13.8,10.3969
"05051",10,7.81358333333334
"05053",8.6,8.52562916666666
"05055",9.1,7.87086250000003
"05057",9.4,9.23005
"05059",9.5,8.81273333333333
"05061",8.9,8.86370416666665
"05063",9.7,8.52636250000002
"05065",10.3,10.3268875
"05067",9.5,9.03536666666669
"05069",8.5,8.2542
"05071",10.3,8.93859166666669
"05073",12.4,10.0019958333333
"05075",10.5,9.04138333333336
"05077",10.3,9.80913333333335
"05079",8.3,7.79562916666667
"05081",9.4,8.39529166666668
"05083",10.3,8.89108749999998
"05085",7.8,7.22611249999999
"05087",10.1,9.14843749999999
"05089",12.8,10.726875
"05091",9,8.43572500000002
"05093",9,8.18287083333331
"05095",11.6,10.0619041666666
"05097",12.3,10.2692708333333
"05099",10.7,9.55495416666666
"05101",11.3,10.4752666666667
"05103",9.7,9.23685833333332
"05105",10,9.02697500000001
"05107",11.1,10.0253
"05109",9.8,8.421725
"05111",10.5,8.954475
"05113",10.7,9.42071666666667
"05115",9.1,7.67258333333331
"05117",10.3,9.24843750000001
"05119",7.7,6.66367916666667
"05121",11,8.90343750000002
"05123",9.6,9.33132499999999
"05125",7.7,7.4913791666667
"05127",11.1,9.1383125
"05129",13,10.6825291666666
"05131",9.3,6.92397083333334
"05133",8.7,8.62300833333333
"05135",11.1,10.6118708333333
"05137",12.7,10.8988708333333
"05139",8.9,8.66278749999999
"05141",12.5,10.8592541666666
"05143",6.8,6.13356666666667
"05145",8.9,7.96416250000002
"05147",11.3,9.52091249999999
"05149",10.3,8.799675
