"county_fips","per_HighBP","pred_outcome"
"01001",42,39.6306291666666
"01003",43.8,39.3684000000002
"01005",50.2,48.2201208333333
"01007",46.3,42.8445999999999
"01009",41.2,40.8583583333333
"01011",56.6,50.1299041666667
"01013",51,48.5145791666667
"01015",44.8,41.8306333333332
"01017",48.7,45.9772875
"01019",45.9,43.4509666666666
"01021",43.1,42.0132708333333
"01023",52.7,48.8244791666667
"01025",49.5,48.2444000000001
"01027",47.6,44.97635
"01029",42.9,42.6125708333333
"01031",43.5,42.4796374999999
"01033",44.3,42.2056875
"01035",54.7,50.0509541666667
"01037",50.2,44.0211749999999
"01039",46.4,43.8306
"01041",46.6,44.5600166666667
"01043",42.3,40.0690708333332
"01045",44.3,43.2600874999999
"01047",55.2,50.6439874999998
"01049",44.5,42.0793208333334
"01051",41.6,39.1639958333332
"01053",48.6,46.8686208333333
"01055",46.3,41.9695958333332
"01057",47.6,44.5799
"01059",44.4,42.5683916666666
"01061",45.5,44.1784583333333
"01063",59.8,54.7038499999998
"01065",51.1,49.7276541666666
"01067",48.1,45.032875
"01069",44.5,42.9309291666666
"01071",45.9,41.4361
"01073",42.7,42.5945291666667
"01075",47.7,43.6048333333333
"01077",39.6,39.9522333333333
"01079",44.3,41.2940791666666
"01081",37.5,35.6649166666666
"01083",40.7,37.0683708333334
"01085",56.5,51.1098166666667
"01087",50.6,48.8506625
"01089",38.6,36.8700000000001
"01091",51.5,49.4037708333332
"01093",45.9,42.9142208333333
"01095",41.7,40.5179125
"01097",43.1,41.8953458333334
"01099",51.3,48.89475
"01101",46.3,44.1373708333332
"01103",44.5,40.2464875
"01105",56.9,52.0202999999999
"01107",48.3,47.6501666666667
"01109",40.6,42.0352041666666
"01111",46.1,43.9579416666666
"01113",46.7,44.3471083333333
"01115",41.8,39.8892041666666
"01117",40.2,37.9692500000001
"01119",50,50.9633958333332
"01121",48.2,44.9360541666666
"01123",48.5,45.5682291666666
"01125",38.9,38.9266541666666
"01127",44.1,41.3404625
"01129",47.4,46.5971833333333
"01131",56.7,53.4308916666666
"01133",46.9,43.709975
"04001",36,36.3061249999999
"04003",39,36.1419083333334
"04005",27,27.2532250000001
"04007",39.3,36.96795
"04009",32.2,32.5605333333334
"04011",29.8,31.5013166666667
"04012",46.3,42.3329958333334
"04013",30.8,29.3870833333334
"04015",42,38.9787208333334
"04017",40.7,36.7340791666666
"04019",34.1,30.7098291666667
"04021",36.2,32.82775
"04023",35.7,33.8772541666667
"04025",38,36.4385000000001
"04027",35.3,34.959025
"05001",45.4,43.6125291666667
