"county_fips","per_highCh","pred_outcome"
"01001",41.3,36.7796999999999
"01003",42.8,39.3539124999999
"01005",43,41.2566125
"01007",42.4,39.7434125
"01009",42.2,40.2952041666667
"01011",43.2,39.5994208333333
"01013",43.4,41.8194791666667
"01015",40.4,39.2007916666666
"01017",41.8,41.02845
"01019",45.9,42.1133291666667
"01021",43.3,40.0292916666667
"01023",45.3,40.6151541666667
"01025",42,39.8975458333334
"01027",44.5,41.0708916666666
"01029",43.2,40.5185208333334
"01031",40.4,38.1077208333333
"01033",42.7,40.2596208333334
"01035",45,41.8343375
"01037",44.8,40.9527958333334
"01039",44.5,40.719575
"01041",42.5,40.9722916666668
"01043",41.5,40.0509125
"01045",42.1,39.4089166666666
"01047",44.1,39.2947416666667
"01049",42.6,40.6882083333333
"01051",40.6,36.8126291666667
"01053",42.8,39.4204125
"01055",42.5,39.8947208333333
"01057",43.4,41.2559666666667
"01059",43.7,39.1810625
"01061",43.6,41.9774499999999
"01063",45.1,41.4234958333333
"01065",42.1,39.5500416666667
"01067",43.9,39.98935
"01069",40.2,38.3478666666667
"01071",43.2,41.5454958333333
"01073",39.5,36.9633
"01075",45.1,41.2496833333334
"01077",40.3,39.3886375
"01079",42.7,39.6804583333333
"01081",36.5,34.1944166666666
"01083",40.4,36.9434791666667
"01085",43,40.6850333333333
"01087",39.4,39.4642208333333
"01089",38.7,35.7456083333333
"01091",44.3,39.8788083333334
"01093",44.2,41.6629208333335
"01095",42.5,39.3597333333333
"01097",40.2,38.2939916666666
"01099",43.2,41.5878541666666
"01101",38.1,36.2192333333334
"01103",41.8,39.4558583333333
"01105",43.5,41.0140166666665
"01107",42.6,39.2466125
"01109",36.6,36.2516083333333
"01111",44.4,39.8853708333332
"01113",41.1,37.9527375
"01115",42.7,39.6476458333333
"01117",40.4,37.4696666666665
"01119",39.9,40.0345166666666
"01121",42.1,39.9656041666666
"01123",45.1,41.3977083333333
"01125",38,35.6251833333333
"01127",41.9,40.3672874999999
"01129",43.3,39.6054166666667
"01131",43.9,41.4836666666666
"01133",45.9,41.8956208333333
"04001",33.8,34.9995583333334
"04003",40.9,37.7885833333333
"04005",31.6,32.2688541666666
"04007",40.6,38.5218708333334
"04009",33.2,34.4600541666666
"04011",34.8,33.9954208333333
"04012",43.4,39.5122000000001
"04013",36.5,35.0177791666667
"04015",41.9,39.6143000000001
"04017",36.3,36.4073250000001
"04019",37.9,36.1751958333334
"04021",40.3,36.9878333333334
"04023",39.1,36.0132875
"04025",41,39.6471458333334
"04027",35.9,37.2420375000001
"05001",39.5,38.3798291666666
"05003",42.2,40.0226458333333
"05005",41,42.7872208333333
"05007",32.8,35.1826041666667
"05009",40.2,41.0119166666667
"05011",41.7,40.1611291666666
"05013",41,40.0441458333332
"05015",42,41.1549041666666
"05017",41.9,39.9731291666667
"05019",35.6,35.5149958333334
"05021",41.1,39.5668708333334
"05023",42.5,43.2132333333333
"05025",40.7,39.7837166666666
"05027",35.9,38.4062833333334
"05029",41.3,40.5445041666666
"05031",36.4,36.4230333333333
"05033",40.8,40.5537
"05035",39.2,37.569575
"05037",40.4,39.8193208333333
"05039",41.4,40.7621166666666
"05041",42,39.3240749999999
"05043",38.7,38.9792791666666
"05045",35.7,35.0191833333334
"05047",41.6,41.0036708333333
"05049",43.6,42.9375249999999
"05051",39.3,38.7916291666666
"05053",39.5,39.385975
"05055",38.7,38.4168874999999
"05057",39.5,39.9403166666667
"05059",40.4,40.4398583333334
"05061",39.3,39.9779
"05063",40.3,39.723275
"05065",42.2,42.2170875
"05067",39.4,40.0053875000001
"05069",39.4,38.8083999999999
"05071",40.5,40.0745708333334
"05073",43.4,42.3061333333333
"05075",40.4,39.9226208333333
"05077",39.7,39.8055958333334
"05079",37.1,37.1755833333335
"05081",40.8,39.1914583333334
"05083",41.3,40.6252375
"05085",39,37.7371041666667
"05087",40.5,40.6866208333333
"05089",43.8,43.4930583333333
"05091",38.2,39.1379291666667
"05093",37.6,38.1899416666667
"05095",42.8,41.9429916666667
"05097",45.3,43.0862166666666
"05099",42.4,40.027825
"05101",43.6,43.3298499999999
"05103",40.9,39.4858875
"05105",41.7,40.7988208333334
"05107",41.2,40.5150791666667
"05109",41.8,40.5933208333334
"05111",40.8,40.509725
"05113",42.5,41.6798458333333
"05115",38.2,38.299525
"05117",41.8,40.9947875
"05119",36.3,36.205775
"05121",40.2,40.1515791666666
"05123",37.1,40.0881666666667
"05125",38.6,37.4534958333332
"05127",41.2,40.9329666666666
"05129",44.9,42.8326124999999
"05131",40.2,37.617625
"05133",39.3,38.2795874999999
"05135",43.4,42.9932
"05137",44.4,43.1104249999999
"05139",40.4,38.9750083333333
"05141",43.5,43.5332083333332
"05143",33.3,34.7341416666666
"05145",39.2,39.4326166666667
"05147",42.5,41.6777958333333
"05149",41.4,39.7188666666667
"06001",33.4,34.4283416666667
"06003",38.5,37.8502375000001
"06005",38.9,39.3887166666667
"06007",33.9,36.1614708333333
"06009",40.7,39.9752166666667
"06011",34.9,36.2758083333333
"06013",36.1,34.3028166666667
"06015",37.1,36.4580541666667
"06017",36.3,38.5332833333333
"06019",32.7,34.8836083333333
"06021",35.3,36.9341125
"06023",35.5,36.2262041666666
"06025",35,35.4432916666667
"06027",37.3,38.4193083333333
"06029",33,34.9410666666666
"06031",31.8,34.4049791666666
"06033",38.9,38.2689124999999
"06035",34.5,35.8975583333333
"06037",36.9,35.4891583333333
"06039",34.4,36.34095
"06041",37.3,36.3779625
"06043",40.6,39.9298333333334
"06045",39,38.5260333333333
"06047",35,35.1639166666666
"06049",41.1,39.9325541666666
"06051",35.1,36.3832541666667
"06053",35.2,35.8167875
"06055",36.4,36.2279791666666
"06057",38.5,39.242575
"06059",36.6,34.6728999999999
"06061",36.4,35.7362
"06063",41.4,40.7455041666668
"06065",36.7,35.6895291666667
"06067",33.8,34.1298666666667
"06069",34.1,35.0161125
"06071",34,35.161225
"06073",33.4,34.2555083333333
"06075",35.2,35.0555583333333
"06077",33.7,35.3319791666666
"06079",34.1,36.5104541666667
"06081",37.4,35.3068791666666
"06083",32.4,34.9591499999999
"06085",34.2,34.6043291666667
"06087",34.9,34.7520375
"06089",39,36.9694874999999
"06091",42.2,41.8110916666667
"06093",40.1,39.8184250000001
"06095",35.6,34.9773999999999
"06097",34.9,35.7695166666666
"06099",34.6,35.4389666666667
"06101",36.1,35.7957916666667
"06103",36.5,37.7633
"06105",42.5,39.8907416666667
"06107",34,35.0440749999999
"06109",39,39.2612375000001
"06111",36.1,35.3524458333333
"06113",31.2,33.1674291666667
"06115",33.5,35.2318833333333
"08001",31,30.13115
"08003",31.9,33.8853708333333
"08005",30.3,31.2207250000001
"08007",38.2,38.2927291666667
"08009",37.7,38.9916583333334
"08011",35.2,34.8158875
"08013",29.9,31.0901500000001
"08014",31.6,30.1503083333334
"08015",35.6,36.3135666666667
"08017",36.4,39.9545499999999
"08019",34.6,35.0008541666667
"08021",35.7,37.79955
"08023",38.9,38.8471041666667
"08025",31.4,33.6446458333334
"08027",40.3,37.7654708333334
"08029",38.2,37.7942375
"08031",28.2,29.7138000000001
"08033",36.2,38.2495208333334
"08035",31.4,30.7951166666666
"08037",31.4,31.1116583333334
"08039",34.4,34.7047041666667
"08041",33.1,31.8895750000001
"08043",34.7,35.5597125
"08045",32,32.5380958333333
"08047",34.7,34.4100541666667
"08049",34.5,35.4425916666666
"08051",29.5,31.7518875
"08053",38.3,37.7918583333333
"08055",40.2,39.1088375
"08057",38.8,36.3939958333333
"08059",33.3,31.9232166666667
"08061",37.5,37.3995041666667
"08063",35.3,37.3859791666667
"08065",31.3,31.6823125
"08067",33.2,36.2910041666666
"08069",30.3,31.8810208333334
"08071",36.4,38.4022875000001
"08073",33.7,34.6328041666667
"08075",33.9,36.1682041666667
"08077",31.8,34.6634833333333
"08079",37.5,36.2833208333333
"08081",34.8,33.6083291666666
"08083",35.1,37.7162375000001
"08085",36.4,37.1339208333334
"08087",33.5,32.4267041666668
"08089",36.7,35.9478208333334
"08091",38.5,36.1192625
"08093",37,36.3363583333333
"08095",35.5,35.9856625
"08097",34.4,33.7721625
"08099",34.4,35.8329125000001
"08101",32.1,34.726675
"08103",33.5,34.9118291666666
"08105",35.8,37.5654375
"08107",33.7,32.7693833333334
"08109",39.4,38.4788791666667
"08111",35.3,36.6192875
"08113",33.7,33.8291583333333
"08115",38.2,39.0828958333333
"08117",29.9,31.1642208333334
"08119",37.3,36.95425
"08121",35.7,37.7806125
"08123",31.1,31.6373541666667
"08125",34.2,34.0678708333334
"10001",39.3,36.6634166666666
"10003",38.4,35.8194958333333
"10005",48.5,41.4664499999998
"11001",32.8,33.2512291666666
"12001",34.5,37.2022666666668
"12003",38.7,39.4743458333334
"12005",39.5,37.5752291666667
"12007",37.9,40.460075
"12009",40.5,36.2344291666668
"12011",38.2,36.2991208333335
"12013",40.6,40.5514541666666
"12015",46.3,36.5395208333335
"12017",46.1,37.7132708333333
"12019",38.5,36.4292791666668
"12021",42.3,36.6729000000001
"12023",40.6,40.775475
"12027",44.4,41.0797125
"12029",40.7,41.827575
"12031",34.1,36.6814541666668
"12033",37.5,37.9165458333333
"12035",44.6,36.6381958333335
"12037",41.2,39.5688916666667
"12039",38.6,39.6677041666667
"12041",41.1,41.0423541666667
"12043",42.6,41.0660583333333
"12045",40.3,38.7795958333334
"12047",43.2,40.9555041666666
