"county_fips","per_cancer","pred_outcome"
"01001",8.3,7.25515977175033
"01003",10.2,8.54313017823459
"01005",7.8,7.52839801538166
"01007",8.3,7.19903018756006
"01009",9.3,7.96684466064094
"01011",6.3,6.69256402920412
"01013",8.4,8.37528404372048
"01015",8.2,7.56524283238502
"01017",8.4,8.05371523120448
"01019",10.6,9.12113565305288
"01021",8.6,7.56961103566083
"01023",9.1,8.81875657634198
"01025",8.3,8.07356403234198
"01027",9.7,8.38435948552801
"01029",9.7,8.38940641236707
"01031",8.4,7.36169230164759
"01033",9.2,8.11694666287769
"01035",9,8.80432067346244
"01037",9.8,9.19451713447633
"01039",9.9,8.73811332300421
"01041",8.7,8.12411547477415
"01043",9.5,8.06730329971513
"01045",8.4,7.54969846139957
"01047",7.3,7.49990207480974
"01049",8.8,7.42697500520231
"01051",8.3,7.27938016749628
"01053",8.2,7.72482467490301
"01055",9.1,7.93664930489172
"01057",9.7,8.52167110598958
"01059",8.7,7.52740271536398
"01061",9.4,8.35832872788494
"01063",7.4,8.21376928017926
"01065",7.4,7.59815422758106
"01067",9.5,8.83846912695044
"01069",8.8,7.65337646782859
"01071",9.7,8.38071043818103
"01073",7.3,7.01740830805912
"01075",9.9,8.76946657201097
"01077",9.1,8.24852815001509
"01079",9,7.97314771804892
"01081",6.8,6.13067026137044
"01083",8.3,7.11184537675206
"01085",7.1,7.42428641907979
"01087",6.3,7.68447656203343
"01089",7.8,6.94730693681219
"01091",8,7.79530465581227
"01093",10,8.52682682555181
"01095",9,7.4424419287333
"01097",7.7,7.41355003209649
"01099",8.4,8.22908697615377
"01101",6.6,6.59974343236516
"01103",8.8,7.59006285935806
"01105",7.3,7.69230562159964
"01107",7.8,7.77577279264672
"01109",6.6,6.6817095682455
"01111",9.4,8.22881608975887
"01113",7,6.64693114727513
"01115",8.9,7.75040544568619
"01117",8.9,7.34119231361286
"01119",6.4,7.38088017407708
"01121",8.3,7.76753851694462
"01123",9.8,8.76459786327994
"01125",6.6,6.45652678313422
"01127",9.5,8.15544938821325
"01129",9.1,8.0907140726471
"01131",7.6,7.78860191218377
"01133",10.2,8.63434956743401
"04001",7.8,6.94426076304062
"04003",9.9,8.57090986437098
"04005",7,6.41042082628843
"04007",11.7,9.78157757105247
"04009",7.2,6.24371068847935
"04011",6.8,6.50539373593785
"04012",14.4,12.297822720276
"04013",8.3,6.87460279079736
"04015",12.1,10.0064318770528
"04017",9.3,7.56455709769033
"04019",9.2,7.96499753398322
"04021",9.3,7.96325712403862
"04023",7,7.52828039106511
"04025",13,10.5940682694167
"04027",7.9,7.59262944205506
"05001",8.8,8.07880523294778
"05003",9,8.42159403079104
"05005",12,10.4666278297571
"05007",7.6,6.59948368879742
"05009",9.9,8.54438876113858
"05011",8.1,7.73395538889302
"05013",9,8.39194408690444
"05015",10.1,8.73661412801696
"05017",7.8,8.12702436278383
"05019",7.1,7.10549922321531
"05021",9.8,8.75004329663061
"05023",11.1,9.72304075640003
"05025",9.6,8.39147238652385
"05027",7.3,7.33362352863497
"05029",9.1,7.95637880219099
"05031",7.5,6.63559286436837
"05033",8.8,7.65021270026427
"05035",6.6,6.70866448533648
"05037",8.3,7.77590055174622
"05039",8.9,9.07984742518484
"05041",7.6,7.78403313297322
"05043",7.8,7.43603263863657
"05045",7.3,6.5549317093675
"05047",9.6,8.30716153409051
"05049",10.9,9.59005960218874
"05051",10.5,8.97587408857136
"05053",9.1,7.73895743516218
"05055",8.5,7.45507511370598
"05057",8.1,7.73358700662476
"05059",8.7,7.97074367029513
"05061",8.4,7.6794489078845
"05063",8.8,7.64895381449409
"05065",10.5,8.99612309937392
"05067",7.9,7.60848548041334
"05069",7,7.24951854676486
"05071",8.5,7.47187807482823
"05073",9.1,9.03269487164979
"05075",9.3,8.07527875922652
"05077",6.9,7.4042132118858
"05079",6.6,6.36319002099155
"05081",9.2,8.39533340105895
"05083",9.6,8.32997413022636
"05085",8.1,6.96966121034037
"05087",9.2,8.15757707031704
"05089",11.6,10.1136052449333
"05091",7.9,7.26381393505129
"05093",7.3,6.90603699861276
"05095",8.9,8.59019879787603
"05097",11.3,9.6003443956269
"05099",8.7,8.23051530676645
"05101",11.1,9.68133917993798
"05103",8.3,8.24928323856388
"05105",9.8,8.23544754692317
"05107",7.5,7.81526365825069
"05109",9.6,8.2384181847956
"05111",8.8,7.93201319915299
"05113",10.2,8.72500549697669
"05115",8.4,7.22240406136521
"05117",10,8.88852302192685
"05119",7.5,6.88766184766716
"05121",9.3,8.05615420241409
"05123",6.9,6.85969864401794
"05125",9,7.65266597872482
"05127",9.5,8.42975216732486
"05129",10.9,9.28558232821911
"05131",8,7.28696674187249
"05133",7.2,6.81199701982763
"05135",10.7,9.40605597250671
"05137",11.6,9.85226755990036
"05139",8.2,7.73972640317704
"05141",10.9,9.63078079995055
"05143",6.4,6.19460463850869
"05145",8.4,7.5077025652986
"05147",9.4,8.81935710536166
"05149",8.6,7.66550868738929
"06001",5.9,5.49999877178016
"06003",10.6,7.88146766609048
"06005",10.6,9.32031938612504
"06007",8.1,7.15337565855151
"06009",11.2,9.72580667763296
"06011",6.6,6.0355027178366
"06013",7,6.21824066450169
"06015",9,7.4219014990036
"06017",10.2,8.56787993448893
"06019",5.7,5.09757873197117
"06021",7.5,6.60048840007236
"06023",8.6,7.44237955685304
"06025",5,5.49222832496272
"06027",10,8.46067508301713
"06029",5.6,5.12651848306342
"06031",5.1,4.68984239901377
"06033",9.9,8.18742689390823
"06035",7.7,6.44588179421655
"06037",5.7,5.77405491369373
"06039",6.3,5.52230723872768
"06041",10.5,8.42231661194229
"06043",11.5,9.87616920799835
"06045",9.9,8.35186461347554
"06047",5.2,4.64317197240291
"06049",11.4,10.0573636122812
"06051",8.4,6.94455830520004
"06053",6.3,5.45706968384021
"06055",8.6,7.49217922513624
"06057",11.6,9.96033898773686
"06059",6.8,6.28076881323352
"06061",9.2,7.84537072261903
"06063",12.1,10.16574212126
"06065",6.4,6.16852719173765
