county_fips,per_stroke,pred_outcome
17127,4.8,4.032219886779785
27017,3.5,3.38021457195282
37181,5.1,5.241264820098877
47079,5.4,4.467307806015015
06021,4.0,3.664526343345642
17093,2.4,2.495958685874939
19095,3.6,3.3248220682144165
22003,4.6,3.9507721662521362
18055,4.3,3.8898802995681763
33001,3.8,3.4045153856277466
46065,3.0,3.1098263263702393
55027,3.8,3.329256296157837
28125,8.2,5.559059143066406
18103,4.0,3.821034550666809
20189,3.8,3.804037094116211
47047,4.4,4.143444299697876
01017,5.6,4.779970407485962
18127,3.3,3.016242265701294
25011,3.2,3.3383342027664185
30051,6.1,4.4183433055877686
48273,3.3,3.18368923664093
12007,5.0,4.316360950469971
17057,4.4,3.7874014377593994
27065,4.0,3.780343532562256
20067,3.2,3.0789077281951904
46035,4.2,3.4109996557235718
48011,3.8,3.517626166343689
51740,4.4,4.285666227340698
31147,4.8,4.002959609031677
26037,3.0,2.9531288146972656
27159,4.1,3.8067160844802856
48171,4.3,4.087071657180786
13137,4.1,3.7339236736297607
19155,3.8,3.207377552986145
25019,2.5,2.445306897163391
27027,2.7,2.6272025108337402
31177,3.2,2.971561074256897
47165,3.3,3.0750820636749268
20031,4.6,3.6320561170578003
21211,3.4,3.2332069873809814
28111,5.8,4.3863866329193115
17053,3.6,3.5685269832611084
40127,6.4,5.115323543548584
40105,5.0,4.487460374832153
48209,2.7,2.4334012269973755
55063,2.9,2.7879475355148315
29039,5.8,4.447192668914795
19189,3.3,3.419992685317993
48369,4.1,3.5349658727645874
48329,2.7,2.7021068334579468
17201,4.3,3.5814930200576782
26151,4.5,4.091181516647339
31127,3.8,3.322516918182373
40059,4.2,3.896792411804199
13123,4.5,4.48711371421814
18005,3.5,3.020951986312866
18131,4.3,3.8648178577423096
26107,4.3,3.6762369871139526
28145,4.4,3.805220127105713
36093,3.2,3.182998538017273
48189,3.9,3.463175415992737
54041,4.7,4.219281196594238
13201,6.0,4.936932563781738
40099,4.7,4.116342306137085
36051,3.4,3.1638017892837524
28129,5.3,4.617706298828125
01089,3.3,3.027743697166443
18163,3.6,3.5374830961227417
26053,5.2,4.36146354675293
37157,5.2,4.500588893890381
51520,5.1,4.050271153450012
12117,3.1,3.9546793699264526
18045,3.9,3.7851054668426514
21167,4.1,3.5973843336105347
28019,5.3,4.728026390075684
29059,4.9,4.579548358917236
48395,4.2,4.187649488449097
48221,3.7,3.852690577507019
56005,3.1,2.5825377702713013
31093,3.7,3.639573097229004
36037,4.0,3.4458264112472534
38037,5.6,4.377351760864258
47169,3.4,3.5371696949005127
49053,3.4,3.489190101623535
01075,5.0,4.5865209102630615
24047,4.3,3.9584391117095947
40053,5.2,3.7461618185043335
46033,4.5,4.315397262573242
08001,2.7,2.707293152809143
13003,5.3,4.452231407165527
18145,4.0,3.4713945388793945
19141,4.6,3.6891143321990967
27161,3.4,3.2550147771835327
29063,3.9,3.4674232006073
48437,4.6,4.225854754447937
53063,3.3,2.914581537246704
13023,4.2,3.972968339920044
29123,4.1,3.824615240097046
19063,4.1,3.809985041618347
38073,3.7,3.5781437158584595
48315,5.7,5.0556323528289795
01061,5.1,4.562501668930054
19159,4.4,3.836312770843506
27091,4.1,3.8466097116470337
31045,3.3,3.0590726137161255
36009,4.3,3.7047266960144043
05011,5.4,4.762564420700073
13113,3.3,3.2608684301376343
19081,3.7,3.6061196327209473
27039,2.8,2.815666913986206
46069,3.8,3.981061577796936
48063,4.6,4.227606296539307
48335,3.7,3.504858136177063
05059,4.5,4.156179189682007
31157,3.7,3.5948140621185303
37137,5.3,4.471832275390625
20065,4.8,4.044472575187683
48045,6.7,4.887080907821655
08023,5.5,4.761927127838135
22067,6.3,5.696847438812256
37175,4.2,4.019461631774902
39153,3.6,3.375639796257019
04013,3.2,2.877331018447876
17165,4.5,3.9497807025909424
26025,4.1,3.713212013244629
18113,3.4,3.3692572116851807
35051,6.3,4.930903434753418
48373,4.4,4.212840557098389
01033,4.4,4.145953178405762
19115,4.3,3.633602261543274
26065,2.7,2.8271539211273193
39171,4.3,3.661966323852539
27025,3.1,3.063558340072632
56011,4.0,3.623125672340393
48103,3.5,3.1759631633758545
33019,4.0,3.405563712120056
42117,4.5,3.8966411352157593
42119,3.7,3.334353446960449
48069,4.0,3.7165447473526
21063,5.6,4.814631938934326
35003,7.3,5.042776823043823
22081,5.9,5.4859209060668945
17117,4.5,3.8400185108184814
47069,4.9,4.736652374267578
24025,3.1,2.8780418634414673
31117,4.4,4.2335368394851685
51595,6.2,5.267239093780518
19109,4.4,3.768997073173523
46021,4.9,3.8862621784210205
19099,3.4,3.3520344495773315
19117,4.9,3.9650816917419434
55015,3.0,2.691880702972412
18091,4.1,3.6977864503860474
19193,3.6,3.1395386457443237
26067,3.4,3.283395290374756
48123,4.5,4.407511472702026
37037,4.2,3.8256179094314575
48325,3.4,3.388293981552124
21165,5.3,4.8855016231536865
55055,3.1,3.000435948371887
26117,3.6,3.646665096282959
26123,4.2,3.864048480987549
26149,4.3,3.6839237213134766
48079,5.2,4.312344074249268
26023,4.3,3.8044358491897583
37147,3.7,3.382404923439026
37151,4.4,3.90590238571167
20011,4.3,3.687586784362793
48075,3.8,3.3835912942886353
48105,3.9,4.274778127670288
37069,4.2,3.6974551677703857
20115,3.9,3.6449280977249146
17061,4.3,3.8508936166763306
48131,3.9,3.9942848682403564
21025,5.1,4.637364625930786
46125,3.4,3.5647757053375244
47005,5.0,4.680373430252075
45011,5.5,5.274445533752441
48013,3.6,3.5262537002563477
48017,3.4,3.229487180709839
42021,4.4,3.9276479482650757
47067,6.4,5.046895980834961
47073,4.4,4.205484628677368
45039,6.4,5.371765613555908
51760,3.9,3.1784685850143433
27079,3.8,3.143751859664917
48255,3.6,3.5931994915008545
31003,3.6,3.9004456996917725
29007,4.7,3.9078166484832764
48035,5.1,4.363103866577148
48047,4.5,4.621990919113159
55107,5.0,3.9911468029022217
51065,3.9,3.49842369556427
55131,3.3,2.8965930938720703
27103,3.1,2.7968143224716187
27117,4.2,3.737347722053528
27129,4.2,3.8584095239639282
51111,5.7,4.861334323883057
51115,4.6,4.154651403427124
01057,5.4,4.44074010848999
42055,3.7,3.528785824775696
28049,5.2,4.267465591430664
18095,4.0,3.7011053562164307
48177,4.2,4.0271782875061035
16067,4.0,3.66461443901062
42085,4.1,3.8115915060043335
29113,3.4,3.2559027671813965
26093,3.0,2.877946138381958
26143,5.2,4.791243076324463
36005,4.5,3.9560704231262207
39021,4.0,3.6918081045150757
26161,2.7,2.5855971574783325
31135,4.0,3.79526424407959
27151,4.2,3.7788314819335938
38063,4.3,3.969292640686035
35047,4.3,4.2551281452178955
29181,5.0,4.795437812805176
20173,3.2,3.0475332736968994
13001,4.9,4.663489103317261
19021,3.6,3.267037510871887
17137,4.0,3.6860339641571045
29229,5.1,4.544498920440674
17075,4.4,3.9018125534057617
48271,4.7,4.075571537017822
17095,4.6,3.875365734100342
20041,3.8,3.46440589427948
13237,5.3,4.591984748840332
13165,6.0,5.501068830490112
48507,4.5,4.035000324249268
39041,2.5,2.5308161973953247
13255,4.7,4.331367015838623
13005,4.7,4.199023962020874
16003,5.1,4.5421483516693115
48413,4.2,4.642353773117065
29147,3.9,3.0494160652160645
31001,3.5,3.1536800861358643
31005,4.0,3.870514750480652
48279,4.4,4.08056116104126
48275,4.8,4.132768273353577
48345,4.5,4.490472316741943
29115,4.9,3.964010000228882
13085,3.5,3.3683055639266968
05037,5.1,4.364073276519775
55113,4.5,4.294069051742554
55129,4.2,4.038188934326172
42019,3.0,2.9750070571899414
36013,4.1,3.731631636619568
29079,5.2,4.131497621536255
48281,4.2,3.691161632537842
48057,3.7,3.752737283706665
16065,1.9,2.4131221771240234
19069,4.3,3.82543408870697
16007,4.0,3.8302422761917114
19079,3.8,3.4916564226150513
01101,4.7,3.9549665451049805
13043,5.5,4.80514121055603
13051,3.7,3.560078740119934
19137,4.4,3.73077929019928
48385,6.2,5.44884467124939
08115,5.9,4.233526706695557
19161,3.8,3.740124225616455
48399,4.0,3.9547852277755737
13119,4.4,4.135735511779785
12049,5.0,4.73868727684021
13147,4.5,4.345704555511475
39033,4.7,3.987769365310669
13199,5.4,5.310470104217529
34033,3.6,3.597640872001648
38083,4.9,4.350783109664917
05063,4.6,3.736892580986023
31043,3.6,3.416744112968445
51590,6.3,5.1903698444366455
51640,5.1,4.413286924362183
51660,2.8,2.914097547531128
18049,4.6,3.7955209016799927
39105,5.2,4.367281198501587
54045,5.7,4.642958164215088
54013,6.2,5.05608057975769
28053,8.1,6.056952953338623
29025,4.6,3.9879971742630005
37133,2.7,2.783386468887329
54091,4.8,3.9039881229400635
12121,5.1,4.560420036315918
53045,4.2,4.058297634124756
50003,3.7,3.4220510721206665
54093,4.5,4.173735618591309
32027,3.6,3.783684253692627
32510,4.0,3.4813013076782227
19131,3.7,3.4788814783096313
13229,4.5,4.101510763168335
37061,5.1,4.627393007278442
37127,4.7,4.136501312255859
13211,3.9,3.8492679595947266
18035,4.0,3.612275004386902
20185,4.1,3.731511950492859
26035,4.9,4.528884410858154
08017,3.9,3.4881694316864014
26007,4.5,4.167723178863525
26011,4.9,4.427752256393433
20051,2.9,2.8282177448272705
20165,4.4,3.92025363445282
26157,4.6,3.921186685562134
18009,4.9,4.077861547470093
46101,3.8,3.7808209657669067
01071,5.1,4.1490302085876465
18011,2.9,2.4884958267211914
18133,3.6,3.3153120279312134
18159,3.9,3.472162365913391
40021,4.9,4.0089287757873535
46029,3.9,3.2734460830688477
27087,5.5,5.04430079460144
20171,4.1,3.30279278755188
55025,2.5,2.5157382488250732
13197,5.7,4.915022373199463
26095,5.2,4.218278765678406
29013,4.2,4.0469582080841064
55121,3.4,3.342192769050598
51650,3.9,3.767487645149231
48301,2.7,4.733239650726318
40015,4.9,4.361740350723267
08019,3.0,2.8480098247528076
08027,4.6,4.0805782079696655
08005,2.8,2.5302947759628296
48431,3.0,3.3725674152374268
48485,3.6,3.2724324464797974
48261,7.4,4.613005638122559
48263,4.2,3.890138626098633
48259,3.1,3.1705137491226196
37113,4.9,4.397806882858276
40049,4.5,4.131972551345825
48449,4.3,3.860019326210022
31067,4.4,3.6563990116119385
40109,3.6,3.129663109779358
36001,2.8,2.918242335319519
40005,5.2,4.551210165023804
40019,4.2,3.8842064142227173
48287,4.6,4.006180763244629
51079,3.7,3.1774914264678955
28061,5.8,5.246684551239014
28085,4.9,4.336343288421631
28041,4.3,3.8843178749084473
54109,5.8,4.863499641418457
38023,4.3,4.002196550369263
21153,6.2,4.931641578674316
48375,4.4,3.681258201599121
13053,2.3,2.5868473052978516
19053,3.8,3.6025789976119995
31095,4.5,3.948264241218567
51179,2.7,2.442882537841797
37117,6.4,5.237575054168701
22007,5.3,4.670714378356934
31167,3.6,3.2511664628982544
29141,5.3,4.931586027145386
48401,3.7,3.790081739425659
04003,4.7,3.728308081626892
29137,5.0,4.335925817489624
21213,3.9,3.6213672161102295
05121,5.3,4.304301977157593
28003,4.8,4.013782858848572
48421,3.6,3.6512842178344727
18179,3.7,3.446740984916687
18125,4.2,3.895339250564575
26165,4.2,3.6467254161834717
31183,4.6,3.9758185148239136
48475,3.6,3.128224492073059
51840,3.7,3.0807443857192993
35028,2.3,2.579814076423645
18061,4.0,3.485887050628662
27009,2.8,3.020084857940674
31137,3.4,3.329147696495056
40111,5.2,4.40805721282959
05061,4.5,4.452326774597168
31163,4.8,3.9773937463760376
19005,4.4,3.9903409481048584
13143,3.5,3.5824393033981323
24015,3.7,3.213605761528015
31105,5.0,4.357416152954102
05019,4.3,3.741783380508423
13177,3.3,2.8629261255264282
18183,3.5,3.4273014068603516
28037,5.5,4.984095096588135
46107,4.2,3.960836410522461
48493,3.4,3.213857650756836
