county_fips,per_copd,pred_outcome
13027,11.6,10.264349937438965
31095,7.7,8.683309555053711
51683,5.0,5.0482871532440186
56021,6.6,5.979668378829956
13135,5.0,5.0332725048065186
20001,8.5,9.269693851470947
27065,7.9,8.340240716934204
28107,10.6,9.634380340576172
31185,7.0,7.067257404327393
42063,,8.490795135498047
48327,9.8,10.546951293945312
29173,10.5,10.285375118255615
48151,7.6,8.896378517150879
51183,8.0,8.480316638946533
47183,10.0,9.486754417419434
26105,10.1,9.196619033813477
48159,7.6,8.063089847564697
08075,8.4,7.943681716918945
22119,12.6,12.335339546203613
31045,6.3,6.896651268005371
51139,9.5,9.71868371963501
13161,10.6,10.575380325317383
18117,10.5,10.691407203674316
27015,6.6,7.022817373275757
31079,6.9,6.361558437347412
21223,,10.923401355743408
55113,9.3,8.877006530761719
41027,6.4,6.139989376068115
21169,,13.703489303588867
26007,11.4,10.173178672790527
19095,7.3,7.4273717403411865
13061,11.0,11.794147968292236
18177,10.3,9.653716564178467
29227,11.7,10.372862815856934
31157,7.6,7.781668424606323
39107,7.9,8.067344665527344
01015,8.9,8.921813488006592
37095,10.8,10.362275123596191
19019,7.0,7.167896032333374
27121,7.1,7.3183465003967285
21181,,12.977141857147217
42053,,10.643171787261963
46077,7.4,7.230340242385864
48375,8.2,8.19913911819458
48413,6.7,9.390703201293945
51580,11.0,10.369043350219727
54063,12.3,11.44916582107544
48499,9.3,9.81709337234497
18041,11.4,10.881482601165771
28023,10.6,10.282318592071533
04023,6.8,8.146686553955078
17007,7.4,6.772623538970947
28039,8.7,9.268826961517334
37113,10.1,9.64752721786499
40025,8.1,8.958113193511963
01043,9.0,9.52790641784668
39065,9.1,9.848715782165527
20105,9.6,8.097299098968506
22059,8.4,9.092047214508057
36123,8.9,8.724301815032959
21035,,8.315045833587646
48045,10.4,10.909506797790527
48265,8.4,8.955777168273926
20009,9.0,8.868735313415527
16075,8.4,8.466076850891113
48269,10.8,9.175005435943604
39161,8.8,9.638244152069092
46125,7.1,7.188233137130737
19129,6.7,6.838837146759033
26001,11.9,10.653357028961182
48165,6.6,7.616297006607056
13201,10.7,10.444945812225342
18013,9.5,8.649970054626465
19023,8.3,8.222460269927979
40043,9.2,9.357369899749756
31151,6.5,7.552755355834961
37069,7.6,7.8100714683532715
21219,,10.986247539520264
