county_fips,per_depres,pred_outcome
13027,20.2,21.852210998535156
31095,17.7,18.339069366455078
51683,20.0,18.4876070022583
56021,21.1,21.242051124572754
13135,15.7,17.374186515808105
20001,22.6,22.721904754638672
27065,25.1,22.35158634185791
28107,20.1,20.922707557678223
31185,17.3,18.317974090576172
42063,,22.974656105041504
48327,20.9,22.414082527160645
29173,24.8,22.370737075805664
48151,21.6,21.648810386657715
51183,20.2,19.352394104003906
47183,30.1,25.160696029663086
26105,26.5,21.96935272216797
48159,22.9,21.890949249267578
08075,23.6,20.442977905273438
22119,27.4,25.650120735168457
31045,18.2,21.00974941253662
51139,25.1,23.01228904724121
13161,22.2,23.04007911682129
18117,26.9,26.52094841003418
27015,23.6,19.231204986572266
31079,16.4,18.88656234741211
21223,,26.030183792114258
55113,22.7,22.099181175231934
41027,23.9,20.782081604003906
21169,,28.273500442504883
26007,27.9,23.3538236618042
19095,20.2,18.755434036254883
13061,18.3,19.645344734191895
18177,27.1,25.332058906555176
29227,24.5,20.716787338256836
31157,17.5,18.886507034301758
39107,24.9,21.17454433441162
01015,24.6,23.88121223449707
37095,23.2,21.372586250305176
19019,20.2,19.33124351501465
27121,23.5,19.172858238220215
21181,,28.758368492126465
42053,,21.671982765197754
46077,20.1,16.416752815246582
48375,23.0,22.081514358520508
48413,20.2,21.124408721923828
51580,25.6,24.671793937683105
54063,30.3,24.706363677978516
48499,23.2,22.533068656921387
18041,27.1,26.07022476196289
28023,20.2,21.396796226501465
04023,16.0,21.545449256896973
17007,21.5,21.613285064697266
28039,21.6,24.12125015258789
37113,25.4,20.725762367248535
40025,21.5,20.6680269241333
01043,25.4,24.47502899169922
39065,27.1,26.142617225646973
20105,20.6,17.25569248199463
22059,27.0,25.098864555358887
36123,20.8,23.390183448791504
21035,,24.622764587402344
48045,22.8,22.846569061279297
48265,21.4,21.051448822021484
20009,20.4,22.713281631469727
16075,22.5,22.3115816116333
48269,22.8,24.991921424865723
39161,25.7,22.68012046813965
46125,20.4,17.57478904724121
19129,19.7,18.772494316101074
26001,25.3,22.322818756103516
48165,23.8,22.487244606018066
13201,21.1,21.25048065185547
18013,24.1,21.134218215942383
19023,20.3,17.510047912597656
40043,24.8,23.826790809631348
31151,16.9,19.59020709991455
37069,24.5,21.804412841796875
21219,,26.41037654876709
48393,22.8,20.353384017944336
54031,29.8,23.88857936859131
48399,21.9,21.533035278320312
48301,,20.542631149291992
31089,16.0,15.61688756942749
17175,22.3,21.4609432220459
48193,23.2,23.152782440185547
16009,22.4,21.354727745056152
19109,19.8,19.012510299682617
28141,22.2,25.877233505249023
31131,17.7,18.386534690856934
46051,19.4,18.224218368530273
16067,20.8,22.978017807006836
19157,21.6,20.054424285888672
22001,30.6,26.573101043701172
37079,23.4,20.519553184509277
42011,,21.257118225097656
51600,19.5,17.41911029815674
48335,21.0,20.29023265838623
51790,24.5,22.07732105255127
20171,19.1,19.53675937652588
31001,19.7,19.680148124694824
45053,20.6,19.905065536499023
