county_fips,per_diabet,pred_outcome
13027,20.0,17.128461837768555
31095,13.4,12.770586490631104
51683,12.0,10.68206787109375
56021,10.5,9.672052383422852
13135,12.6,11.470073699951172
20001,12.5,13.328155040740967
27065,12.8,11.818295001983643
28107,18.4,17.034621238708496
31185,11.2,10.934096813201904
42063,,11.702046871185303
48327,17.6,16.047677993774414
29173,14.1,13.420158863067627
48151,14.5,14.090740203857422
51183,16.2,15.809557914733887
47183,13.9,13.417299747467041
26105,13.8,12.393277645111084
48159,13.0,12.167905330657959
08075,11.2,11.572291851043701
22119,19.5,18.249863624572754
31045,10.6,10.672938823699951
51139,14.1,13.130524635314941
13161,16.4,16.486788272857666
18117,14.7,13.605663299560547
27015,11.5,10.83204460144043
31079,12.0,11.039076328277588
21223,,13.31137228012085
55113,15.2,13.151910781860352
41027,11.3,9.898835182189941
21169,,15.367461681365967
26007,14.2,13.534536361694336
19095,11.7,10.416021347045898
13061,21.5,22.454294204711914
18177,14.7,13.247713565826416
29227,15.5,13.261463642120361
31157,13.0,12.39271879196167
39107,12.1,11.250591278076172
01015,14.8,14.179203033447266
37095,17.0,16.940144538879395
19019,11.1,10.037522315979004
27121,12.2,11.290836811065674
21181,,15.756577014923096
42053,,15.615114688873291
46077,12.1,11.160747051239014
48375,15.3,15.38307237625122
48413,14.8,16.567387580871582
51580,16.6,14.247492790222168
54063,17.9,15.03174352645874
48499,14.6,14.186044216156006
18041,15.4,14.245129108428955
28023,17.8,17.38115692138672
04023,15.5,12.843231201171875
17007,12.2,10.625880718231201
28039,13.1,13.420527458190918
37113,14.2,15.059638023376465
40025,13.7,13.331369400024414
01043,13.4,12.806838035583496
39065,12.9,12.7447190284729
20105,14.2,12.441553115844727
22059,13.1,12.54143476486206
36123,11.6,11.798978328704834
21035,,11.956123352050781
48045,17.5,16.25020933151245
48265,14.7,13.907557010650635
20009,13.4,13.285027027130127
16075,11.8,12.366938591003418
48269,16.8,12.23221731185913
39161,13.2,12.801731586456299
46125,11.8,10.910687446594238
