"county_fips","per_stroke","pred_outcome"
"01001",3.7,3.30019846590173
"01003",3.7,3.47184013630762
"01005",6.1,5.11198647092424
"01007",4.6,4.22101579135977
"01009",4.3,3.89496526963682
"01011",7.2,5.33419909943995
"01013",5.7,5.1330593894786
"01015",4.2,4.0767922747981
"01017",5.6,4.72300066836314
"01019",4.6,4.33392362384427
"01021",4.1,4.0113832374901
"01023",6.4,5.22228085827554
"01025",5.7,5.08460389602886
"01027",5.3,4.51857991621203
"01029",4.9,3.92761910003773
"01031",4.1,3.87313147816591
"01033",4.4,4.11470928539126
"01035",6.4,5.20598775429865
"01037",5.5,4.79308063476623
"01039",4.5,4.41478699926069
"01041",4.8,4.3757296497672
"01043",4.5,3.7529189831965
"01045",4.7,4.06925998247393
"01047",6.5,5.44549735517906
"01049",5.3,4.23510626168278
"01051",3.6,3.45609768343091
"01053",5.3,4.67719871144786
"01055",4.7,4.07320491063446
"01057",5.4,4.61053945942346
"01059",4.9,4.06379375602853
"01061",5.1,4.50591547327032
"01063",8.1,6.31080044498122
"01065",5.9,5.30465153864202
"01067",5.7,4.53856256515549
"01069",4.7,4.09079706688446
"01071",5.1,4.23253686220589
"01073",4.1,3.68267763937361
"01075",5,4.50928683468751
"01077",3.8,3.73255668981605
"01079",5.1,4.22491588794782
"01081",3.3,3.0608603251383
"01083",3.5,3.25191495702465
"01085",7.1,5.56580363009679
"01087",6.3,5.52708549969615
"01089",3.3,2.86550205566549
"01091",5.9,4.86074001492951
"01093",5.3,4.29783676862252
"01095",3.9,3.70248140657637
"01097",4.7,4.03270014418723
"01099",5.8,5.09946678377134
"01101",4.7,4.12507633077781
"01103",4.4,3.69002888830881
"01105",7.1,5.94100002010438
"01107",5.4,4.94149872376133
"01109",3.8,4.14511366842924
"01111",4.9,4.46117021595634
"01113",5.2,4.49497962142611
"01115",3.6,3.62268939066132
"01117",2.8,2.59382861702077
"01119",5.8,5.57125174486525
"01121",4.9,4.43733336777867
"01123",5.2,4.58555233299462
"01125",3.5,3.46060018040502
"01127",5,4.09930806165727
"01129",5.5,4.5477199097039
"01131",7.4,5.84093910229013
"01133",5,4.33137232749773
"04001",7.3,5.58619008106922
"04003",4.7,4.09160844055144
"04005",3.4,3.25735017276148
"04007",5.6,5.11329976036162
"04009",3.7,3.84377313997652
"04011",3.3,3.43205633862277
"04012",7.4,6.35435916929041
"04013",3.2,3.12846446107318
"04015",5.5,4.93563669395534
"04017",5.9,4.94720271635402
"04019",3.6,3.68081962813013
"04021",4,3.88709740142713
"04023",4,4.39724963481202
"04025",4.9,4.55542667448241
"04027",4.4,4.35175586493394
"05001",5.2,4.2866561023317
"05003",5.8,4.85674308468353
"05005",5.5,4.72947446024349
"05007",2.9,2.78475284356852
"05009",4,3.87764303494678
"05011",5.4,4.44427712176498
"05013",4.5,4.44688721924443
"05015",5,4.28458922572138
"05017",6.8,5.24630682308419
"05019",4.3,3.94828179482574
"05021",5.1,4.29853345059987
"05023",4.9,4.46549351590922
"05025",5.4,4.29097110137671
"05027",4.5,4.4368430484454
"05029",5.2,4.19846688666774
"05031",3.9,3.4305314260322
"05033",4.5,3.78163279724636
"05035",4.9,4.38802509818441
"05037",5.1,4.34070778271396
"05039",5.8,4.89132055586386
"05041",6.8,5.09199091383158
"05043",4.5,4.12983607277487
"05045",3.2,3.06981697190294
"05047",5,4.35718293970108
"05049",6.9,4.53132745109265
"05051",4.5,4.16007403148401
"05053",3.9,3.66783700536093
"05055",4.4,3.66473396648671
"05057",5.1,4.7087712726732
"05059",4.5,4.11631603421316
"05061",4.5,4.4794597972937
"05063",4.6,3.96906254329526
"05065",4.7,4.55624305107947
"05067",5,4.34263323669919
"05069",5.1,4.55626832512054
"05071",5.1,4.07552490558766
"05073",7,5.30157660549492
"05075",5.2,4.01468454926322
"05077",6.2,5.26466514163466
"05079",4.3,4.05547224904806
"05081",4.7,4.27423547555229
