"county_fips","per_cancer","pred_outcome"
"01001",8.3,7.34178802133031
"01003",10.2,8.38156493229154
"01005",7.8,7.55585524512096
"01007",8.3,7.30037230960245
"01009",9.3,8.08747633126456
"01011",6.3,6.69017801941509
"01013",8.4,8.28723646053182
"01015",8.2,7.50090493469684
"01017",8.4,7.99827769803624
"01019",10.6,9.15460353407479
"01021",8.6,7.78053524500695
"01023",9.1,9.01449746654136
"01025",8.3,8.1665091474165
"01027",9.7,8.55426151825316
"01029",9.7,8.5525583127652
"01031",8.4,7.33224722729267
"01033",9.2,8.10930327160786
"01035",9,8.8107793397821
"01037",9.8,9.19701335341855
"01039",9.9,8.58215063556767
"01041",8.7,8.32656126454626
"01043",9.5,8.08933328935057
"01045",8.4,7.50930442890058
"01047",7.3,7.47978073254777
"01049",8.8,7.60806951494258
"01051",8.3,7.44081672581671
"01053",8.2,7.6185584059081
"01055",9.1,7.86384110822914
"01057",9.7,8.62104704608893
"01059",8.7,7.5673493500258
"01061",9.4,8.33503405576094
"01063",7.4,8.22213886450882
"01065",7.4,7.92697921897995
"01067",9.5,8.88434057956598
"01069",8.8,7.51243039990132
"01071",9.7,8.42496665026535
"01073",7.3,6.89983936108384
"01075",9.9,8.92620923247612
"01077",9.1,8.18777940285833
"01079",9,8.12573005382649
"01081",6.8,6.27187855463795
"01083",8.3,7.21768436100585
"01085",7.1,7.75984437624074
"01087",6.3,7.77272322804283
"01089",7.8,6.85445190081372
"01091",8,7.90623115380875
"01093",10,8.60104693521549
"01095",9,7.44505644612436
"01097",7.7,7.12804746414499
"01099",8.4,8.18544474619439
"01101",6.6,6.56999324353381
"01103",8.8,7.55011857738545
"01105",7.3,8.05344079498162
"01107",7.8,8.04028971399149
"01109",6.6,6.90366298202456
"01111",9.4,8.31070279035209
"01113",7,6.73285771851724
"01115",8.9,7.87980488503351
"01117",8.9,7.28560046774993
"01119",6.4,7.77887102432465
"01121",8.3,7.78754160092902
"01123",9.8,8.70021163389836
"01125",6.6,6.57373228407812
"01127",9.5,8.14360962693352
"01129",9.1,8.29727991379631
"01131",7.6,8.0520299725774
"01133",10.2,8.66821351132558
"04001",7.8,6.46652533971355
"04003",9.9,8.56339985497936
"04005",7,6.41270306943315
"04007",11.7,9.81681431470393
"04009",7.2,6.61808598968482
"04011",6.8,6.83028805320284
"04012",14.4,11.9774549905918
"04013",8.3,6.82339194137139
"04015",12.1,10.1318208912913
"04017",9.3,7.3929441399082
"04019",9.2,7.83609455686548
"04021",9.3,7.95565032747369
"04023",7,7.24981111454717
"04025",13,10.5505589534106
"04027",7.9,7.40873812010606
"05001",8.8,8.00893531448884
"05003",9,8.28059684969496
"05005",12,10.4995185575961
"05007",7.6,6.58162270341578
"05009",9.9,8.56071695062751
"05011",8.1,7.57874686862418
"05013",9,8.63050903097684
"05015",10.1,8.60325420859617
"05017",7.8,7.83086982501972
"05019",7.1,7.25351825221949
"05021",9.8,8.62097710893616
"05023",11.1,9.78298347983047
"05025",9.6,8.77212971432173
"05027",7.3,7.41199041074269
"05029",9.1,8.0689974103617
"05031",7.5,6.62629486807677
"05033",8.8,7.62505586745658
"05035",6.6,6.63500480716708
"05037",8.3,7.80417750286448
"05039",8.9,9.00947757367031
"05041",7.6,7.48058789699555
"05043",7.8,7.44858832577397
"05045",7.3,6.72843379379761
"05047",9.6,8.34187627656755
"05049",10.9,9.57192853281061
"05051",10.5,8.84092394184205
"05053",9.1,8.00441324898552
"05055",8.5,7.36233431034997
"05057",8.1,7.69134329722703
"05059",8.7,7.97791723084443
"05061",8.4,7.68835132158664
"05063",8.8,7.6183083838912
"05065",10.5,9.12888896200821
"05067",7.9,7.60490762713438
"05069",7,7.18316581242631
"05071",8.5,7.56793222834232
"05073",9.1,8.9257261355144
"05075",9.3,8.0244059824138
"05077",6.9,7.32168236562644
"05079",6.6,6.49772278240946
"05081",9.2,8.56322450928986
"05083",9.6,8.39406721646778
"05085",8.1,7.14858657396236
"05087",9.2,8.14127095049578
"05089",11.6,10.2240685644157
"05091",7.9,7.13988068444405
"05093",7.3,6.81688489556766
"05095",8.9,8.59207802097009
"05097",11.3,9.55054535965238
"05099",8.7,8.13591178185697
"05101",11.1,9.87857219609258
"05103",8.3,8.22987335318111
"05105",9.8,8.56197460792716
"05107",7.5,7.63886546331189
"05109",9.6,8.4190412940561
"05111",8.8,7.91746080966709
"05113",10.2,8.72522695096865
"05115",8.4,7.33244186561948
"05117",10,9.23963538987158
"05119",7.5,6.85488904158573
"05121",9.3,8.04969636999466
"05123",6.9,6.76163582182064
"05125",9,7.82325700351616
"05127",9.5,8.27649986831994
"05129",10.9,9.39426108184326
"05131",8,7.12101517449851
"05133",7.2,6.62179458657099
"05135",10.7,9.4933182001968
"05137",11.6,9.8428061778478
"05139",8.2,7.76199930133271
"05141",10.9,9.63126641052451
"05143",6.4,6.11530414606232
"05145",8.4,7.51012440773957
"05147",9.4,8.91433782551887
"05149",8.6,7.79847199293472
"06001",5.9,6.41511709366345
