"county_fips","per_HighBP","pred_outcome"
"01001",40.6,34.58475
"01003",38.7,35.526625
"01005",48.9,48.3744791666668
"01007",42.3,42.2763125000001
"01009",40.5,38.6144999999999
"01011",52.4,49.7454375
"01013",47.7,47.9816874999999
"01015",41.3,40.4347083333334
"01017",46.8,46.3206458333334
"01019",44.3,41.4975
"01021",41,40.4520625
"01023",51.1,48.0749791666667
"01025",47.7,48.2867499999999
"01027",45.1,43.233875
"01029",42.3,38.9528333333333
"01031",39.1,38.3446458333334
"01033",42.1,40.3878958333333
"01035",49.9,48.7040625000001
"01037",46.9,42.3631458333334
"01039",42,42.5374166666667
"01041",43.5,42.5410208333333
"01043",40.9,38.3615833333333
"01045",42.1,39.8635833333334
"01047",51,50.2704375
"01049",41.8,41.8993125
"01051",38.7,37.0090625
"01053",46.2,45.0828541666667
"01055",42,40.7422708333333
"01057",45.7,43.5176875
"01059",41,40.5556249999999
"01061",43.4,43.3864375
"01063",57.7,51.288125
"01065",49.6,49.2039999999999
"01067",45.5,43.1295208333334
"01069",43.4,41.0666458333334
"01071",42.2,41.9201041666667
"01073",41.8,35.9773958333333
"01075",44.4,42.4421666666668
"01077",39.4,37.6083541666667
"01079",43.4,41.9304583333333
"01081",34.8,30.7312708333334
"01083",37.9,33.7759583333333
"01085",53.9,50.5419791666666
"01087",48.4,48.7349166666667
"01089",37.3,31.118875
"01091",49.6,46.4501666666665
"01093",42.9,41.4865416666667
"01095",39.6,37.5182083333333
"01097",41.5,40.9863958333334
"01099",48.2,47.8790833333334
"01101",43.8,40.1910416666666
"01103",42.2,36.6462291666666
"01105",52.7,51.341
"01107",46.5,47.8605833333334
"01109",37.4,38.6784374999999
"01111",45.1,42.4221458333334
"01113",44.3,44.4685000000001
"01115",37.9,36.3620416666667
"01117",36.8,31.4539166666666
"01119",47.9,50.9234375
"01121",46,43.4729375000001
"01123",45.9,43.8784583333333
"01125",37.5,36.6313958333333
"01127",41.8,40.2914791666667
"01129",47.5,43.5869166666666
"01131",53.8,51.2661874999999
"01133",43.3,42.7478958333333
"04001",36.4,45.7742291666666
"04003",36.9,37.9749583333333
"04005",25.2,31.2588541666667
"04007",37.1,41.1413750000001
"04009",29.7,38.9946666666667
"04011",26.8,33.5468125
"04012",44.8,43.2832083333333
"04013",29.3,30.7339583333333
"04015",39,40.0951666666667
"04017",37.5,46.3850625
"04019",31.4,32.9867916666666
"04021",33.3,36.0691041666667
"04023",31.1,41.571875
"04025",36.5,38.4966041666666
"04027",33.3,39.53775
"05001",42.7,42.020375
"05003",46.3,44.3158333333334
"05005",46.7,41.9120416666667
"05007",32.6,30.8256249999999
"05009",41.2,38.2720208333334
"05011",45.2,43.7446458333334
"05013",43.7,40.6011250000001
"05015",42.5,39.7682291666667
"05017",51.9,47.8052083333333
"05019",36.5,39.0402291666666
"05021",44.7,42.6797083333333
"05023",44.5,40.4649791666668
"05025",45.1,40.0054791666666
"05027",41.8,43.2824375
"05029",45.1,40.5642291666666
"05031",36.9,35.2932916666666
"05033",40.3,38.8753333333334
"05035",45.4,44.0614375
"05037",44.1,42.306125
"05039",48.6,43.4748333333334
"05041",50.6,48.1718125
"05043",41.7,38.2153541666667
"05045",33.6,33.5895625
"05047",44.8,43.3685625
"05049",49,43.2989166666667
"05051",41.4,38.7815208333333
"05053",39,37.2410833333333
"05055",38.4,38.7622291666667
"05057",44,45.2016666666667
"05059",41.5,40.671
"05061",42.3,44.3038125
"05063",42,40.5649999999999
"05065",44.8,39.3532291666665
"05067",44.3,42.7663541666667
"05069",48.8,42.8443958333334
"05071",40.1,41.3033125
"05073",51.6,47.1501041666667
"05075",40.8,40.889
"05077",50.8,49.9889583333333
"05079",41.2,42.6692083333333
"05081",42.4,39.6615625
"05083",43.1,39.5229791666666
"05085",37.7,35.4199791666667
"05087",42,41.4056041666667
"05089",46.7,44.1856458333334
"05091",42.4,41.2052291666667
"05093",43.2,42.1463125
"05095",50.8,48.7453541666667
"05097",47.9,41.2656041666666
"05099",47.4,46.5363958333333
"05101",45,39.2790833333333
"05103",46.8,45.2394166666667
"05105",42.1,40.1561458333334
"05107",51.4,50.1029375
"05109",42,41.1350625
"05111",43.4,42.5458958333333
"05113",42.2,41.7323958333334
"05115",38.8,35.9054166666667
"05117",43.7,39.0266041666667
"05119",40.6,35.8735833333333
"05121",43.9,41.6924375
"05123",49.2,48.1356666666667
"05125",39.2,34.9611666666667
"05127",43.7,41.1833333333333
"05129",47.6,45.6258541666667
"05131",39.3,37.713875
"05133",39.8,42.6319166666666
"05135",46.5,43.6853125
"05137",48.7,45.6452708333333
"05139",42.7,42.2461041666667
"05141",46.5,44.0058125
"05143",31.6,30.7986875
"05145",41.2,38.9878541666667
"05147",47.8,44.37775
"05149",42.3,38.63025
"06001",27.2,26.802125
"06003",33.2,34.9615
"06005",34.7,37.9696458333334
"06007",30.7,32.0602291666667
"06009",37.5,39.882125
"06011",30.8,36.8427708333333
"06013",27.9,29.7078125
"06015",34.8,37.9277708333333
"06017",31.3,32.6986249999999
"06019",31,34.2317083333333
"06021",32.6,39.2246458333333
"06023",32,33.28275
"06025",30.3,37.9086875
"06027",33.2,38.2471041666666
"06029",30.1,32.7585
"06031",28.8,32.7205416666667
"06033",35.1,39.7960625
"06035",30.8,40.308875
"06037",28.2,30.2013124999999
"06039",30.1,41.6287083333334
"06041",28.1,30.9923333333334
"06043",38.1,39.5544374999999
"06045",34.3,38.9956875
"06047",30.1,35.7853333333333
"06049",39,40.7844583333333
"06051",29,31.6209375
