"county_fips","per_smoking","pred_outcome"
"01001",15.5,15.500125
"01003",14,14.8479791666667
"01005",20.9,22.82
"01007",21.1,22.3801666666667
"01009",19.1,19.74725
"01011",24.6,25.4307291666667
"01013",19.5,20.976875
"01015",17,19.2132708333334
"01017",20.6,21.18175
"01019",16.3,19.4198333333333
"01021",15.8,19.9817916666667
"01023",20.2,20.632
"01025",19.9,21.2080208333333
"01027",20.6,20.9237916666667
"01029",20.9,18.9017291666667
"01031",14.4,18.3258333333333
"01033",17.6,19.3951875
"01035",18.8,21.1997083333334
"01037",18.9,18.7248958333333
"01039",16.9,20.5782291666667
"01041",19,20.0199583333334
"01043",18.4,18.413
"01045",18.1,19.29
"01047",18.9,22.369875
"01049",22.5,21.7930625
"01051",15.6,16.58625
"01053",21.1,22.8459166666667
"01055",18.4,19.3335625
"01057",20.7,21.79275
"01059",19.9,20.0231041666667
"01061",17.6,21.6900833333333
"01063",22,22.7225625
"01065",18.3,21.791375
"01067",20.8,17.7850416666667
"01069",17.8,18.7941666666667
"01071",20.2,21.1978541666667
"01073",14.6,15.5179375
"01075",18.2,20.7329791666666
"01077",14.7,16.5972291666666
"01079",20.1,20.4381875
"01081",15.2,14.452
"01083",15.6,15.1663541666666
"01085",21.6,22.2322916666667
"01087",17.6,19.7745416666667
"01089",13.2,12.6017083333333
"01091",19.9,19.7651041666667
"01093",19.1,20.7165833333333
"01095",16.2,18.5863125
"01097",18.8,18.8062916666667
"01099",19.5,21.572875
"01101",17.4,17.3297916666667
"01103",17.3,17.1504375
"01105",21.1,23.8585416666667
"01107",19.4,21.4064166666666
"01109",14.3,17.6298333333334
"01111",18.9,19.3742083333333
"01113",20.3,21.2119791666667
"01115",15.3,17.7989166666667
"01117",10.7,12.099875
"01119",17.9,21.9139583333333
"01121",18.2,21.0730416666667
"01123",17.3,19.4012708333333
"01125",16.2,17.024
"01127",21.2,19.7392083333333
"01129",20.3,20.2236666666667
"01131",23.6,23.0073958333333
"01133",17.6,22.1973958333334
