"county_fips","per_heartDisease","pred_outcome"
"01001",6.7,6.29941666666666
"01003",7.5,7.20520833333332
"01005",9.5,8.9928125
"01007",8.5,8.12912499999999
"01009",8,7.86370833333333
"01011",10.7,9.19900000000003
"01013",9.1,9.03439583333335
"01015",7.7,7.6464375
"01017",8.6,8.49775
"01019",9.6,8.93174999999998
"01021",7.6,7.56085416666667
"01023",10,9.77752083333335
"01025",8.7,8.95637500000001
"01027",9.3,8.84899999999999
"01029",8.4,7.98797916666667
"01031",7.6,7.45227083333334
"01033",8,8.05658333333335
"01035",11.1,10.634
"01037",9.8,8.80835416666665
"01039",9.2,8.70433333333332
"01041",8.5,8.68304166666666
"01043",7.9,7.93662500000001
"01045",8.1,7.88077083333333
"01047",9.6,9.60206250000003
"01049",8.9,8.52681249999998
"01051",6.7,6.60993750000001
"01053",9.5,8.86731250000002
"01055",8.5,8.18587500000002
"01057",9.4,8.91216666666666
"01059",8.9,7.92066666666666
"01061",9.3,9.11743750000001
"01063",11.9,10.895375
"01065",9,9.1555416666667
"01067",8.9,8.74716666666665
"01069",7.9,7.66158333333334
"01071",9.2,8.73195833333332
"01073",6.6,6.43479166666667
"01075",9.6,9.03147916666665
"01077",7.4,7.16379166666665
"01079",8.4,8.09014583333333
"01081",5.8,5.3054375
"01083",6.4,6.04760416666668
"01085",10.4,9.90677083333333
"01087",8.2,8.56939583333334
"01089",5.8,5.29864583333333
"01091",9,8.61754166666667
"01093",9.4,8.96637500000002
"01095",7.8,7.41187500000002
"01097",7.3,7.00389583333333
"01099",9.7,9.08895833333335
"01101",6.9,6.58979166666669
"01103",7.7,7.13739583333333
"01105",10.9,10.1655416666667
"01107",8.7,9.0031041666667
"01109",6.8,6.77827083333335
"01111",8.7,8.42041666666666
"01113",7.5,7.57474999999999
"01115",7.1,7.15075000000001
"01117",5.7,5.57070833333333
"01119",8.5,9.21489583333333
"01121",8.3,8.2621041666667
"01123",9,8.60789583333333
"01125",5.8,6.06725000000002
"01127",8.6,8.4507708333333
"01129",8.7,9.01383333333333
"01131",10.8,10.1217291666667
"01133",9.9,9.59370833333332
"04001",9.3,8.77327083333334
"04003",8.3,8.13954166666667
"04005",5.4,5.6186875
"04007",9.8,9.4235
"04009",6.4,6.99587500000001
"04011",5.3,6.40816666666667
"04012",13.3,10.311875
"04013",5.7,5.61585416666667
"04015",10,9.40233333333336
"04017",8.9,8.78695833333335
"04019",6.7,6.66908333333333
"04021",6.9,7.40660416666667
"04023",7.5,7.898875
"04025",8.8,8.60625
"04027",7.9,7.88718750000001
"05001",8.6,8.13635416666668
"05003",10.2,9.09670833333333
"05005",11.1,9.36885416666664
"05007",5.6,5.27854166666667
"05009",8.5,8.3648125
"05011",9.4,8.26725
"05013",8.5,8.07933333333334
"05015",9.7,8.7964375
"05017",10.3,9.16897916666668
"05019",7.2,7.05470833333335
"05021",9.3,8.83
"05023",10.3,9.17002083333333
"05025",9.3,8.809125
"05027",7.9,7.87979166666668
"05029",9.4,8.47835416666668
"05031",6.7,6.22975
"05033",8.1,7.70491666666668
"05035",7.9,7.44335416666667
"05037",9.1,8.43004166666667
"05039",9.2,8.84343750000001
"05041",10.8,9.50570833333336
"05043",8.5,7.66560416666667
"05045",6,5.94004166666668
"05047",9.5,9.08283333333334
"05049",11.5,9.48770833333333
"05051",9.3,8.35527083333332
"05053",7.5,7.31089583333332
"05055",8,7.49285416666668
"05057",8.9,8.54250000000001
"05059",8.5,8.24697916666666
"05061",8.6,8.30064583333333
"05063",8.4,8.25837500000001
"05065",10.9,9.29514583333335
"05067",8.9,8.70483333333335
"05069",8.3,7.86833333333334
"05071",8.9,7.98718750000001
"05073",11.8,10.9907083333334
"05075",9.3,8.61952083333333
"05077",10.1,10.2316458333334
"05079",7.6,7.54583333333335
"05081",9.2,8.56695833333333
"05083",9,8.21335416666667
"05085",6.5,6.554375
"05087",9,8.50887499999998
"05089",11.3,10.3675833333333
"05091",8.5,7.83085416666666
"05093",8.1,7.66941666666666
