"county_fips","per_smoking","pred_outcome"
"01001",15.5,15.8348398208618
"01003",14,15.051833152771
"01005",20.9,22.3430404663086
"01007",21.1,22.0229072570801
"01009",19.1,20.0508880615234
"01011",24.6,25.1842441558838
"01013",19.5,20.6049060821533
"01015",17,18.8637733459473
"01017",20.6,21.2003211975098
"01019",16.3,19.9297943115234
"01021",15.8,19.0416049957275
"01023",20.2,20.9668960571289
"01025",19.9,20.6479721069336
"01027",20.6,20.861270904541
"01029",20.9,18.8536357879639
"01031",14.4,18.418399810791
"01033",17.6,19.879207611084
"01035",18.8,22.1157569885254
"01037",18.9,18.9483776092529
"01039",16.9,20.0911598205566
"01041",19,19.9069709777832
"01043",18.4,18.2737789154053
"01045",18.1,19.3204727172852
"01047",18.9,21.0168209075928
"01049",22.5,22.3794765472412
"01051",15.6,17.1244201660156
"01053",21.1,23.0827331542969
"01055",18.4,19.3073997497559
"01057",20.7,22.0810565948486
"01059",19.9,19.6401386260986
"01061",17.6,21.4909687042236
"01063",22,23.652099609375
"01065",18.3,21.8146228790283
"01067",20.8,16.9844875335693
"01069",17.8,18.7369594573975
"01071",20.2,21.1332378387451
"01073",14.6,15.0957145690918
"01075",18.2,20.6258716583252
"01077",14.7,16.8820705413818
"01079",20.1,20.2723484039307
"01081",15.2,15.2125473022461
"01083",15.6,15.8703126907349
"01085",21.6,21.4696960449219
"01087",17.6,17.927074432373
"01089",13.2,12.6421003341675
"01091",19.9,19.7996654510498
"01093",19.1,21.3554039001465
"01095",16.2,18.9340190887451
"01097",18.8,18.9701957702637
"01099",19.5,21.3397579193115
"01101",17.4,16.4021015167236
"01103",17.3,17.0087509155273
"01105",21.1,25.0359191894531
"01107",19.4,21.7292385101318
"01109",14.3,18.012035369873
"01111",18.9,19.1282062530518
"01113",20.3,21.1759395599365
"01115",15.3,18.2066211700439
"01117",10.7,12.2344560623169
"01119",17.9,21.5781307220459
"01121",18.2,21.6427478790283
"01123",17.3,18.8382892608643
"01125",16.2,17.1621379852295
"01127",21.2,20.0425815582275
"01129",20.3,20.1073703765869
"01131",23.6,22.9075813293457
"01133",17.6,21.5112953186035
"04001",26.3,25.2425174713135
"04003",14.8,15.7363376617432
"04005",12.4,14.122034072876
"04007",17,19.3067607879639
"04009",15.2,19.0688419342041
"04011",13.3,17.5649967193604
"04012",16.7,17.4637794494629
"04013",11.7,13.2432460784912
"04015",16.8,18.0076122283936
"04017",21.5,23.0049057006836
"04019",12.8,12.6804399490356
"04021",14.8,16.258243560791
"04023",12.4,18.9135551452637
"04025",14.4,13.8638944625854
"04027",13.3,17.4571628570557
"05001",22.1,19.9339275360107
"05003",20,21.8260917663574
"05005",19.6,18.3561229705811
"05007",13.8,12.958869934082
"05009",18.5,19.4641857147217
"05011",21.5,20.717601776123
"05013",20.5,18.9875774383545
"05015",18.1,17.0320091247559
"05017",22.7,21.5763931274414
"05019",17.6,17.90114402771
"05021",22,21.283727645874
"05023",18.5,18.2213535308838
"05025",23,19.3058414459229
"05027",17.4,20.0922737121582
"05029",23.3,18.8602313995361
"05031",19.3,17.3957977294922
"05033",18.8,19.6132469177246
"05035",21.6,21.7752723693848
"05037",21.3,21.907377243042
"05039",20.7,17.8894329071045
"05041",25.2,23.6647090911865
"05043",19.2,18.8332786560059
"05045",14.7,16.5514965057373
"05047",23.4,22.7233715057373
"05049",25.1,20.8384761810303
"05051",16.4,16.7744388580322
"05053",19.5,18.7321071624756
"05055",22.1,21.0147037506104
"05057",19.8,20.9721660614014
"05059",21.4,19.9831027984619
"05061",17.7,19.7249507904053
"05063",22.6,20.5557384490967
"05065",19.8,18.7764472961426
"05067",24,23.2833251953125
"05069",22.2,19.0572376251221
"05071",23.1,20.9928112030029
"05073",24.6,22.1867733001709
"05075",23,23.4844341278076
"05077",25.7,26.5833129882812
"05079",23.2,23.1906986236572
"05081",19.6,18.03786277771
"05083",21.4,20.2187843322754
"05085",18.3,18.6797676086426
"05087",22.3,21.0733852386475
"05089",20.5,19.5810489654541
"05091",22.9,21.0556907653809
"05093",24.1,22.1232452392578
"05095",23.4,21.4052486419678
"05097",20.4,18.9287281036377
"05099",21.7,21.8616981506348
"05101",21.8,18.6316585540771
"05103",20.2,19.7221336364746
"05105",19.7,20.1105461120605
"05107",23.6,23.5328464508057
"05109",19.6,19.2089862823486
"05111",25.9,23.3958015441895
"05113",20.6,19.9887371063232
"05115",18.2,19.2611427307129
"05117",21.9,17.699649810791
"05119",16.3,15.2808532714844
"05121",22.8,21.0424098968506
"05123",25.6,25.4630565643311
"05125",15.1,16.042236328125
"05127",22.2,20.5872325897217
"05129",24.2,22.2407417297363
"05131",18.9,17.606409072876
"05133",19.4,22.612678527832
"05135",22.3,21.1566791534424
"05137",21.8,21.7421436309814
"05139",17.4,19.9767532348633
"05141",23.6,20.7587814331055
"05143",16.5,14.5901803970337
"05145",21.7,19.4248485565186
"05147",22.1,20.7142639160156
"05149",21,20.2799644470215
"06001",10.1,8.08428859710693
"06003",12.3,14.0761365890503
"06005",13.2,13.3821096420288
"06007",13.1,14.2299661636353
"06009",14,14.4544267654419
"06011",14.7,18.1766223907471
"06013",10.4,10.2382040023804
"06015",19.3,18.4970722198486
"06017",9.8,12.5928611755371
"06019",14.1,15.6110734939575
"06021",14.9,18.4086647033691
"06023",15.8,14.607460975647
"06025",13.6,17.8503494262695
"06027",12.9,14.9004507064819
"06029",16.5,16.6276092529297
"06031",16,14.363166809082
"06033",13.2,17.8043403625488
"06035",16.7,22.6885566711426
"06037",10.7,11.4577474594116
"06039",15.1,20.6177730560303
"06041",7.3,8.63387012481689
"06043",15.9,14.4707384109497
"06045",13.6,16.8135814666748
"06047",17.4,16.0209484100342
"06049",13.7,15.6687870025635
"06051",12.6,15.306941986084
"06053",13.6,12.836522102356
"06055",12.6,10.7620429992676
"06057",15.5,11.9230403900146
"06059",10.7,10.7072219848633
"06061",11.2,10.9193801879883
"06063",12.9,14.2213287353516
"06065",11.3,13.6425895690918
"06067",12.9,12.0608835220337
"06069",11.1,14.8183755874634
"06071",12.7,13.2357807159424
"06073",10,10.11692237854
"06075",8.6,7.83321046829224
"06077",12.5,13.6527042388916
"06079",9.8,11.1431350708008
"06081",8.8,7.82903909683228
"06083",9,11.1509561538696
"06085",8.9,7.27449560165405
"06087",10.4,12.7276954650879
"06089",13.5,16.027551651001
"06091",14.3,14.0367937088013
"06093",14.8,16.7417640686035
"06095",12.7,12.5876398086548
"06097",10,11.3355855941772
"06099",12.6,14.321515083313
"06101",15.9,14.4559907913208
"06103",15.5,19.0421600341797
"06105",15.6,16.880765914917
"06107",15,14.84787940979
"06109",12.3,14.6803150177002
"06111",10.5,11.3053674697876
"06113",11.3,14.4010257720947
"06115",15.7,17.1652774810791
"08001",15,14.062141418457
"08003",14.9,16.7712936401367
"08005",12.3,11.2548761367798
"08007",10.7,12.2707052230835
"08009",18.6,17.9889602661133
"08011",18.5,21.8758182525635
"08013",9.8,10.0703592300415
"08014",8.6,8.19082832336426
"08015",15.1,11.7078580856323
"08017",13.2,16.4180240631104
"08019",10.9,11.3189144134521
"08021",13.8,16.9243583679199
"08023",16.1,16.212085723877
"08025",19.4,23.3480129241943
"08027",13.2,13.2535419464111
"08029",15.7,15.0469236373901
"08031",14.2,10.7056360244751
"08033",14.9,15.500316619873
"08035",8.5,9.62591648101807
"08037",11.8,12.1560249328613
"08039",13.1,13.0962018966675
"08041",13,11.0197515487671
"08043",15.8,17.9595336914062
"08045",12.7,13.4628105163574
"08047",13.2,14.0670232772827
"08049",11.8,13.6453809738159
"08051",8.9,12.6960210800171
"08053",11.4,11.5698146820068
"08055",14.7,13.6126136779785
"08057",16.6,15.4729423522949
"08059",10.6,10.949031829834
"08061",18.1,19.3434429168701
"08063",13.1,17.2532711029053
"08065",9.4,13.7564306259155
"08067",11.3,12.7908668518066
"08069",9,11.1718311309814
"08071",15.6,18.689245223999
"08073",16,18.8640937805176
"08075",17.1,17.3398914337158
"08077",14.8,14.6253862380981
"08079",13.4,11.1132640838623
"08081",18.2,17.4454078674316
"08083",15.5,14.3337249755859
"08085",14.4,13.782187461853
"08087",14.1,17.3070449829102
"08089",19.3,17.51389503479
"08091",11.6,10.939902305603
