"county_fips","per_HighBP","pred_outcome"
"01001",42,37.6637992858887
"01003",43.8,36.660530090332
"01005",50.2,47.9300193786621
"01007",46.3,43.2969665527344
"01009",41.2,38.8635673522949
"01011",56.6,51.5635757446289
"01013",51,47.779109954834
"01015",44.8,40.4988250732422
"01017",48.7,44.9732818603516
"01019",45.9,43.0334320068359
"01021",43.1,40.8898620605469
"01023",52.7,49.3687057495117
"01025",49.5,47.9023475646973
"01027",47.6,42.8687362670898
"01029",42.9,38.632194519043
"01031",43.5,38.1517677307129
"01033",44.3,40.4318084716797
"01035",54.7,51.7695236206055
"01037",50.2,44.0739555358887
"01039",46.4,42.7365455627441
"01041",46.6,44.787296295166
"01043",42.3,38.6959609985352
"01045",44.3,42.3481636047363
"01047",55.2,55.374454498291
"01049",44.5,42.4553298950195
"01051",41.6,38.5481834411621
"01053",48.6,45.7504844665527
"01055",46.3,41.9502754211426
"01057",47.6,43.6237983703613
"01059",44.4,42.1481666564941
"01061",45.5,44.1023635864258
"01063",59.8,56.6186714172363
"01065",51.1,51.0336303710938
"01067",48.1,44.5465278625488
"01069",44.5,42.7870941162109
"01071",45.9,40.8799896240234
"01073",42.7,37.8936767578125
"01075",47.7,43.5464134216309
"01077",39.6,37.090503692627
"01079",44.3,42.124439239502
"01081",37.5,30.5469837188721
"01083",40.7,33.947193145752
"01085",56.5,53.8159790039062
"01087",50.6,50.9804573059082
"01089",38.6,31.8346729278564
"01091",51.5,46.3196792602539
"01093",45.9,42.8779983520508
"01095",41.7,38.674430847168
"01097",43.1,41.2342224121094
"01099",51.3,49.340633392334
"01101",46.3,38.3227233886719
"01103",44.5,37.9420356750488
"01105",56.9,55.009407043457
"01107",48.3,47.2296104431152
"01109",40.6,39.328742980957
"01111",46.1,41.6632919311523
"01113",46.7,46.166202545166
"01115",41.8,37.3026428222656
"01117",40.2,33.502197265625
"01119",50,53.0595397949219
"01121",48.2,44.0005264282227
"01123",48.5,44.3345642089844
"01125",38.9,37.9937782287598
"01127",44.1,41.7612075805664
"01129",47.4,46.2582817077637
"01131",56.7,54.7049751281738
"01133",46.9,43.8250389099121
"04001",36,44.0401763916016
"04003",39,39.7562065124512
"04005",27,30.4698486328125
"04007",39.3,42.0177726745605
"04009",32.2,34.227954864502
"04011",29.8,33.1587715148926
"04012",46.3,46.1743812561035
"04013",30.8,30.511754989624
"04015",42,40.9308815002441
"04017",40.7,46.762809753418
"04019",34.1,32.0489387512207
"04021",36.2,38.317195892334
"04023",35.7,45.555061340332
"04025",38,39.9434280395508
"04027",35.3,42.1706924438477
"05001",45.4,41.1281394958496
"05003",49.4,45.0691070556641
"05005",47,44.0264053344727
"05007",32.8,31.4727649688721
"05009",40.7,39.7487640380859
"05011",48.7,45.451904296875
"05013",45.5,38.9838485717773
"05015",45.3,42.6465759277344
"05017",53,48.2112770080566
"05019",40.3,39.4080924987793
"05021",43.3,41.2022972106934
"05023",45.3,41.2368965148926
"05025",46.5,42.168815612793
"05027",42.8,43.3179588317871
"05029",46.8,40.1947631835938
"05031",39.1,35.2752304077148
"05033",41.9,39.3504524230957
"05035",47.4,45.7361526489258
"05037",46.5,43.7147903442383
"05039",49.8,42.7574195861816
"05041",52.8,49.9341621398926
"05043",44.7,42.0261573791504
"05045",35.4,34.9980850219727
"05047",44.6,43.0879249572754
"05049",49.1,42.6291122436523
"05051",45.8,40.7369346618652
"05053",40.2,35.9943504333496
"05055",42.5,37.7953948974609
"05057",46.2,45.9348297119141
"05059",43.3,39.3186950683594
"05061",44.3,44.2892570495605
"05063",41.3,41.2323722839355
"05065",47.6,38.5573425292969
"05067",44.4,43.0308227539062
"05069",50.9,42.3707542419434
"05071",42.5,40.5219612121582
"05073",52.6,51.8398857116699
"05075",43.7,41.4706611633301
"05077",51.7,50.4524040222168
"05079",43.2,41.9117164611816
"05081",46.3,42.3420295715332
"05083",44.9,40.0739402770996
"05085",39,35.6420402526855
"05087",44.1,43.1108627319336
"05089",46.3,43.1860427856445
"05091",44.8,42.2753601074219
"05093",46.4,42.8791618347168
"05095",52.3,49.9376373291016
"05097",47.8,42.4735488891602
"05099",51,49.286060333252
"05101",47.4,41.2655563354492
"05103",49.5,44.856315612793
"05105",43.8,38.4724044799805
"05107",55.6,51.7090530395508
"05109",44.3,42.1648902893066
"05111",43,43.3089447021484
"05113",44.8,41.8736305236816
"05115",38.7,35.10205078125
"05117",46.7,38.4209403991699
"05119",42.2,36.813720703125
"05121",43.6,42.0210494995117
"05123",50.1,47.8071937561035
"05125",40,36.5785026550293
"05127",44.1,40.9393081665039
"05129",49.3,46.5047950744629
"05131",40.7,36.8371467590332
"05133",40.2,41.620532989502
"05135",46.7,44.0941276550293
"05137",47.9,45.5038452148438
"05139",46.4,43.5568923950195
"05141",47.4,44.7916870117188
"05143",34.6,31.4108943939209
